,accuracy_train,accuracy_test
0,0.04525,0.0512
1,0.43466666666666665,0.4092
2,0.6310333333333333,0.5948
3,0.7331666666666666,0.7254
4,0.7545,0.72
5,0.7673666666666666,0.7324
6,0.7761,0.7452
7,0.7821833333333333,0.75
8,0.7766833333333333,0.7514
9,0.7848,0.7496
10,0.7877333333333333,0.7538
11,0.7897833333333333,0.7612
12,0.7859833333333334,0.7492
13,0.8041666666666667,0.7778
14,0.7991,0.7714
15,0.8015,0.7698
16,0.7988666666666666,0.7758
17,0.8101166666666667,0.7902
18,0.8129166666666666,0.7826
19,0.8135166666666667,0.792
20,0.8124333333333333,0.781
21,0.8111166666666667,0.7788
22,0.8089666666666666,0.7756
23,0.8148166666666666,0.7828
24,0.8150166666666666,0.7838
25,0.8193166666666667,0.789
26,0.81365,0.7862
27,0.8141333333333334,0.7876
28,0.8144666666666667,0.785
29,0.811,0.7808
30,0.8171833333333334,0.7974
31,0.81595,0.7956
32,0.808,0.7736
33,0.8105833333333333,0.7798
34,0.8219666666666666,0.7954
35,0.8320166666666666,0.8144
36,0.8236166666666667,0.8018
37,0.82685,0.8064
38,0.8199833333333333,0.797
39,0.8201166666666667,0.8022
40,0.8121333333333334,0.7926
41,0.82515,0.806
42,0.81415,0.7858
43,0.8139,0.7868
44,0.8171666666666667,0.7892
45,0.8201,0.8004
46,0.8162166666666667,0.7888
47,0.8307333333333333,0.8122
48,0.8266333333333333,0.8072
49,0.82785,0.8024
50,0.8305833333333333,0.8028
51,0.8239333333333333,0.794
52,0.8254666666666667,0.8024
53,0.8303333333333334,0.8062
54,0.8162666666666667,0.7878
55,0.8269666666666666,0.8086
56,0.8242166666666667,0.7934
57,0.8388166666666667,0.8094
58,0.8276333333333333,0.8032
59,0.8313,0.8054
60,0.83175,0.8062
61,0.8254,0.802
62,0.8282666666666667,0.8012
63,0.83155,0.8126
64,0.8165333333333333,0.792
65,0.8245666666666667,0.7992
66,0.8257,0.7996
67,0.8391333333333333,0.8266
68,0.8254166666666667,0.7976
69,0.8258,0.803
70,0.8290166666666666,0.806
71,0.8175666666666667,0.7924
72,0.8169,0.784
73,0.8215666666666667,0.8034
74,0.8267166666666667,0.8022
75,0.8270666666666666,0.804
76,0.8331166666666666,0.8102
77,0.8255833333333333,0.7998
78,0.8232833333333334,0.8002
79,0.82385,0.797
80,0.82945,0.7892
81,0.831,0.7946
82,0.8196333333333333,0.786
83,0.8205166666666667,0.7906
84,0.8183666666666667,0.7838
85,0.8200166666666666,0.7976
86,0.8174833333333333,0.7874
87,0.8109666666666666,0.7744
88,0.82015,0.7974
89,0.8157666666666666,0.7878
90,0.81305,0.801
91,0.8122166666666667,0.7856
92,0.8198166666666666,0.7942
93,0.8274666666666667,0.815
94,0.8196333333333333,0.7916
95,0.8168333333333333,0.7952
96,0.8155333333333333,0.786
97,0.8189333333333333,0.8036
98,0.8121833333333334,0.7942
99,0.8170833333333334,0.7984
