,accuracy_train,accuracy_test,W_norm,a_norm,W_bias_norm,a_bias_norm
0,0.08865,0.0796,0.10102729499340057,0.090680792927742,0.11013003438711166,0.12072636187076569
1,0.76045,0.7148,0.07108183205127716,0.5522804856300354,0.07565833628177643,0.2772567570209503
2,0.7987666666666666,0.7666,0.06103047728538513,0.5247910022735596,0.07402393221855164,0.25317052006721497
3,0.8126,0.7732,0.05368901044130325,0.500868022441864,0.06898684054613113,0.2803647220134735
4,0.838,0.813,0.04899116978049278,0.5177026391029358,0.05744130164384842,0.24859455227851868
5,0.8486666666666667,0.8148,0.045709043741226196,0.5495521426200867,0.04968530312180519,0.255898118019104
6,0.852,0.8246,0.04336288198828697,0.5543436408042908,0.037518732249736786,0.3476461172103882
7,0.8579666666666667,0.8288,0.04177144542336464,0.5647904276847839,0.03951534256339073,0.29574400186538696
8,0.8641,0.8356,0.04052424803376198,0.563780665397644,0.04502571001648903,0.31659016013145447
9,0.8605833333333334,0.83,0.03950649872422218,0.5832213759422302,0.038934607058763504,0.3285576105117798
10,0.8723333333333333,0.8408,0.039137810468673706,0.5743305087089539,0.03163253888487816,0.38658103346824646
11,0.8668666666666667,0.835,0.03821451961994171,0.5771005749702454,0.04067305848002434,0.33590778708457947
12,0.8761166666666667,0.8488,0.038212329149246216,0.5765456557273865,0.033395908772945404,0.25708386301994324
13,0.8759833333333333,0.8496,0.03788768872618675,0.5909873843193054,0.03568912297487259,0.30419692397117615
14,0.8818333333333334,0.8598,0.03763508424162865,0.6099807620048523,0.03780549019575119,0.26373228430747986
15,0.8817,0.858,0.03713870793581009,0.6020492911338806,0.025304105132818222,0.29435673356056213
16,0.88575,0.8632,0.037232350558042526,0.5892227292060852,0.03560866788029671,0.29818469285964966
17,0.8833333333333333,0.8596,0.03674378991127014,0.608574390411377,0.0321301706135273,0.19910970330238342
18,0.8838,0.8578,0.03687705472111702,0.6124127507209778,0.028104469180107117,0.33055436611175537
19,0.8805333333333333,0.8526,0.03676846623420715,0.5799775123596191,0.028346536681056023,0.25796979665756226
20,0.8841166666666667,0.8576,0.037193212658166885,0.5853718519210815,0.025144394487142563,0.3057821989059448
21,0.8826,0.8582,0.03680714592337608,0.6238601803779602,0.03613710403442383,0.3004113435745239
22,0.8862166666666667,0.8584,0.0370316281914711,0.6260035634040833,0.03505142405629158,0.2891506850719452
23,0.8825666666666667,0.8598,0.036832332611083984,0.6148305535316467,0.03228845074772835,0.24071495234966278
24,0.8851,0.861,0.03722109645605087,0.5962342023849487,0.03152962774038315,0.30815404653549194
25,0.8882,0.8612,0.03695634379982948,0.5996733903884888,0.025737948715686798,0.29113078117370605
26,0.8867833333333334,0.863,0.03725353628396988,0.5938647985458374,0.02515697106719017,0.31437060236930847
27,0.88655,0.8662,0.03660600632429123,0.601264476776123,0.034911658614873886,0.3524823784828186
28,0.8854333333333333,0.8602,0.03663233667612076,0.5888405442237854,0.036816127598285675,0.31117013096809387
29,0.8901,0.8696,0.03675967827439308,0.6115545630455017,0.03147667273879051,0.2436792254447937
30,0.8901,0.8696,0.03675967827439308,0.6115545630455017,0.03147667273879051,0.2436792254447937
31,0.88585,0.8578,0.03689565137028694,0.6073155403137207,0.025762245059013367,0.19437427818775177
32,0.8852,0.858,0.03688249737024307,0.625167727470398,0.029627373442053795,0.23987309634685516
33,0.8905333333333333,0.863,0.0367438979446888,0.6321198344230652,0.028688644990324974,0.21552293002605438
34,0.8884166666666666,0.858,0.036701638251543045,0.5860632061958313,0.023680254817008972,0.2552046477794647
35,0.8903833333333333,0.8594,0.03680116683244705,0.5816481709480286,0.03197020664811134,0.299358069896698
36,0.88615,0.856,0.03652976453304291,0.5869771838188171,0.03301359340548515,0.2764604091644287
37,0.88615,0.8606,0.0369529202580452,0.5846178531646729,0.036049529910087585,0.2248842418193817
38,0.8858166666666667,0.8574,0.036782555282115936,0.576202929019928,0.03840913251042366,0.2693594992160797
39,0.8865166666666666,0.8612,0.03649924322962761,0.5944123864173889,0.036684829741716385,0.2882421612739563
40,0.8872,0.8554,0.036416396498680115,0.6023550629615784,0.039332788437604904,0.2966941297054291
41,0.8847666666666667,0.8496,0.03651073947548866,0.6115084290504456,0.04344042390584946,0.2295798361301422
42,0.88295,0.8558,0.03661522641777992,0.600838840007782,0.04657068848609924,0.2268732786178589
43,0.8869,0.8644,0.03630314767360687,0.6130344867706299,0.03532504662871361,0.2897879183292389
44,0.8864,0.8634,0.03621719032526016,0.6134979128837585,0.032992344349622726,0.2790302038192749
45,0.8883166666666666,0.8616,0.03623282536864281,0.6385148763656616,0.041496213525533676,0.21006934344768524
46,0.8871333333333333,0.8584,0.036379147320985794,0.6180787086486816,0.03978975489735603,0.23332175612449646
47,0.8876,0.859,0.03657154366374016,0.6215299963951111,0.04467717930674553,0.18469806015491486
48,0.8879666666666667,0.8552,0.03657316416501999,0.6259686350822449,0.038018204271793365,0.17711718380451202
49,0.8887,0.8624,0.037095412611961365,0.633220911026001,0.04540002718567848,0.16688884794712067
50,0.8885833333333333,0.8552,0.036679960787296295,0.602408230304718,0.049532461911439896,0.23499669134616852
51,0.8884,0.8564,0.0367547944188118,0.6196037530899048,0.034807439893484116,0.2827431559562683
52,0.8874666666666666,0.8576,0.036697808653116226,0.6086886525154114,0.04060901328921318,0.2615542411804199
53,0.8884166666666666,0.863,0.03658434748649597,0.6313579678535461,0.03805335983633995,0.24524849653244019
54,0.8883333333333333,0.8596,0.03666628897190094,0.6128846406936646,0.03546334430575371,0.24109473824501038
