t test_acc train_acc W_norm W_2_norm b_norm b_2_norm Z_2_norm time
47 9.2400e-02 9.8633e-02 5.3009e-01 2.4225e+00 7.0360e-01 4.4925e-01 2.3261e+04 1.0269e+01
48 1.0420e-01 9.9300e-02 5.3805e-01 2.4237e+00 7.0729e-01 3.7659e-01 2.3257e+04 1.0318e+01
49 9.2400e-02 9.8633e-02 5.5188e-01 2.4225e+00 7.0003e-01 4.2153e-01 2.3249e+04 1.0368e+01
50 9.2400e-02 9.8633e-02 5.5668e-01 2.4275e+00 7.0437e-01 3.9953e-01 2.3276e+04 1.0416e+01
51 9.2400e-02 9.8633e-02 5.7166e-01 2.4311e+00 6.9698e-01 4.8717e-01 2.3265e+04 1.0464e+01
52 9.2400e-02 9.8633e-02 6.0636e-01 2.4413e+00 6.9744e-01 4.6912e-01 2.3265e+04 1.0512e+01
53 1.0240e-01 1.0440e-01 6.1898e-01 2.4432e+00 6.9126e-01 5.5190e-01 2.3264e+04 1.0562e+01
54 1.0620e-01 1.0348e-01 6.2687e-01 2.4457e+00 6.8858e-01 4.4801e-01 2.3269e+04 1.0612e+01
55 9.4000e-02 9.9467e-02 6.1591e-01 2.4404e+00 6.8725e-01 3.7618e-01 2.3287e+04 1.0660e+01
56 1.0400e-01 9.9150e-02 6.2080e-01 2.4544e+00 6.8525e-01 3.7144e-01 2.3265e+04 1.0709e+01
57 1.1180e-01 1.0928e-01 6.4209e-01 2.4544e+00 6.8412e-01 3.7670e-01 2.3255e+04 1.0759e+01
58 1.1440e-01 1.1245e-01 6.5791e-01 2.4592e+00 6.9223e-01 3.3497e-01 2.3246e+04 1.0808e+01
59 9.7000e-02 9.8167e-02 6.4346e-01 2.4648e+00 6.9128e-01 2.5173e-01 2.3264e+04 1.0856e+01
60 9.7800e-02 9.7567e-02 6.4593e-01 2.4577e+00 6.9340e-01 2.4670e-01 2.3275e+04 1.0905e+01
61 9.2400e-02 9.8633e-02 6.8976e-01 2.4591e+00 6.8826e-01 3.1386e-01 2.3258e+04 1.0954e+01
62 9.2400e-02 9.9000e-02 6.7831e-01 2.4633e+00 6.8656e-01 2.4548e-01 2.3256e+04 1.1003e+01
63 9.2400e-02 9.8917e-02 6.6783e-01 2.4625e+00 6.8865e-01 3.4029e-01 2.3252e+04 1.1053e+01
64 9.8400e-02 1.0177e-01 6.8076e-01 2.4646e+00 6.8774e-01 3.1986e-01 2.3254e+04 1.1103e+01
65 9.1200e-02 9.8067e-02 6.8786e-01 2.4641e+00 6.8617e-01 2.7010e-01 2.3260e+04 1.1153e+01
66 1.1860e-01 1.2055e-01 6.9779e-01 2.4659e+00 6.8562e-01 2.3570e-01 2.3254e+04 1.1200e+01
67 1.1480e-01 1.1383e-01 7.0984e-01 2.4612e+00 6.8572e-01 2.5115e-01 2.3264e+04 1.1249e+01
68 1.0700e-01 1.0267e-01 7.0409e-01 2.4685e+00 6.8807e-01 3.0475e-01 2.3271e+04 1.1298e+01
69 1.1420e-01 1.1240e-01 7.0212e-01 2.4719e+00 6.8596e-01 2.7856e-01 2.3264e+04 1.1347e+01
70 1.1680e-01 1.1848e-01 7.3780e-01 2.4742e+00 6.9250e-01 2.9478e-01 2.3275e+04 1.1397e+01
71 1.1440e-01 1.1308e-01 7.4420e-01 2.4740e+00 6.9398e-01 3.4382e-01 2.3273e+04 1.1446e+01
72 1.2860e-01 1.3490e-01 7.9111e-01 2.4737e+00 6.9726e-01 3.6866e-01 2.3283e+04 1.1494e+01
73 1.1440e-01 1.1303e-01 7.8167e-01 2.4718e+00 7.0002e-01 3.3240e-01 2.3272e+04 1.1543e+01
74 1.1460e-01 1.1317e-01 7.8863e-01 2.4723e+00 6.9745e-01 2.7352e-01 2.3274e+04 1.1592e+01
75 1.1100e-01 1.0858e-01 8.0669e-01 2.4732e+00 6.9264e-01 2.5056e-01 2.3279e+04 1.1640e+01
76 1.1620e-01 1.1668e-01 8.1748e-01 2.4816e+00 6.8641e-01 3.4058e-01 2.3273e+04 1.1688e+01
77 1.3960e-01 1.5072e-01 8.0454e-01 2.4870e+00 6.8930e-01 2.4690e-01 2.3283e+04 1.1739e+01
78 1.1760e-01 1.1733e-01 8.2783e-01 2.4829e+00 6.8561e-01 3.3299e-01 2.3258e+04 1.1788e+01
79 1.0680e-01 1.0023e-01 8.5451e-01 2.4773e+00 6.8546e-01 3.3357e-01 2.3264e+04 1.1836e+01
80 1.3420e-01 1.4335e-01 8.6261e-01 2.4830e+00 6.8263e-01 3.2831e-01 2.3270e+04 1.1885e+01
81 1.1760e-01 1.1567e-01 8.8725e-01 2.4845e+00 6.8582e-01 3.3274e-01 2.3260e+04 1.1935e+01
82 1.2420e-01 1.3310e-01 9.0469e-01 2.4820e+00 6.8413e-01 2.4941e-01 2.3268e+04 1.1985e+01
83 1.4100e-01 1.4543e-01 9.2005e-01 2.4841e+00 6.8242e-01 1.9776e-01 2.3270e+04 1.2034e+01
84 1.7200e-01 1.7142e-01 9.3957e-01 2.4774e+00 6.7759e-01 3.0080e-01 2.3262e+04 1.2083e+01
85 1.5940e-01 1.7050e-01 9.5253e-01 2.4807e+00 6.7858e-01 4.0448e-01 2.3264e+04 1.2133e+01
86 1.3700e-01 1.3285e-01 9.4304e-01 2.4779e+00 6.7764e-01 4.0982e-01 2.3269e+04 1.2183e+01
87 1.6700e-01 1.6337e-01 9.5590e-01 2.4806e+00 6.8689e-01 3.2677e-01 2.3266e+04 1.2232e+01
88 1.7380e-01 1.7107e-01 9.5283e-01 2.4833e+00 6.8477e-01 3.2429e-01 2.3260e+04 1.2283e+01
89 1.5500e-01 1.5448e-01 9.4400e-01 2.4729e+00 6.8710e-01 3.3211e-01 2.3284e+04 1.2333e+01
90 1.5460e-01 1.4943e-01 9.5857e-01 2.4705e+00 6.8897e-01 3.3632e-01 2.3275e+04 1.2381e+01
91 1.8180e-01 1.7558e-01 9.5403e-01 2.4760e+00 6.8723e-01 2.6214e-01 2.3277e+04 1.2429e+01
92 2.0820e-01 1.9360e-01 9.6184e-01 2.4793e+00 6.8807e-01 2.8662e-01 2.3276e+04 1.2478e+01
93 1.8360e-01 1.6887e-01 9.8808e-01 2.4822e+00 6.8213e-01 2.6687e-01 2.3274e+04 1.2526e+01
94 1.9980e-01 1.9108e-01 1.0064e+00 2.4752e+00 6.8023e-01 2.5233e-01 2.3276e+04 1.2575e+01
95 2.2740e-01 2.1792e-01 9.9481e-01 2.4817e+00 6.8511e-01 2.2249e-01 2.3287e+04 1.2624e+01
96 2.1140e-01 1.9967e-01 1.0183e+00 2.4827e+00 6.8357e-01 2.0081e-01 2.3278e+04 1.2673e+01
97 2.0160e-01 1.9342e-01 1.0183e+00 2.4823e+00 6.8086e-01 2.8865e-01 2.3273e+04 1.2723e+01
98 1.9560e-01 1.7757e-01 1.0392e+00 2.4797e+00 6.7819e-01 3.1845e-01 2.3272e+04 1.2773e+01
99 1.7660e-01 1.7997e-01 1.0459e+00 2.4840e+00 6.7263e-01 4.1315e-01 2.3276e+04 1.2822e+01
100 1.9600e-01 1.8593e-01 1.0433e+00 2.4887e+00 6.7545e-01 3.1682e-01 2.3259e+04 1.2872e+01
101 1.7680e-01 1.8357e-01 1.0269e+00 2.4913e+00 6.7474e-01 3.1942e-01 2.3276e+04 1.2929e+01
102 2.1960e-01 2.1713e-01 1.0529e+00 2.4924e+00 6.7579e-01 3.3226e-01 2.3284e+04 1.2977e+01
103 1.6300e-01 1.7242e-01 1.0690e+00 2.4903e+00 6.7214e-01 4.1127e-01 2.3287e+04 1.3027e+01
104 1.6820e-01 1.6408e-01 1.0976e+00 2.4931e+00 6.6562e-01 4.5038e-01 2.3272e+04 1.3075e+01
105 1.7180e-01 1.7193e-01 1.1180e+00 2.4941e+00 6.5821e-01 4.0683e-01 2.3267e+04 1.3124e+01
106 1.9940e-01 1.9918e-01 1.1380e+00 2.4930e+00 6.5969e-01 3.6225e-01 2.3273e+04 1.3174e+01
107 1.9580e-01 1.9415e-01 1.1300e+00 2.4954e+00 6.6187e-01 3.4588e-01 2.3267e+04 1.3224e+01
108 1.8160e-01 1.8695e-01 1.1405e+00 2.4987e+00 6.6024e-01 3.5126e-01 2.3286e+04 1.3272e+01
109 2.0960e-01 2.2123e-01 1.1310e+00 2.5014e+00 6.6585e-01 3.5848e-01 2.3284e+04 1.3322e+01
110 2.2340e-01 2.3287e-01 1.1539e+00 2.5114e+00 6.6085e-01 3.5378e-01 2.3283e+04 1.3374e+01
111 2.1660e-01 2.1752e-01 1.1896e+00 2.5237e+00 6.6816e-01 4.2219e-01 2.3279e+04 1.3423e+01
112 2.2340e-01 2.3520e-01 1.2141e+00 2.5282e+00 6.7075e-01 4.1684e-01 2.3274e+04 1.3472e+01
113 1.7980e-01 1.8707e-01 1.2339e+00 2.5287e+00 6.7123e-01 5.1270e-01 2.3289e+04 1.3522e+01
