t test_acc train_acc W_norm W_2_norm b_norm b_2_norm Z_2_norm time
918 8.2740e-01 8.5190e-01 1.1036e+01 6.8713e+00 3.1207e+00 4.7932e-01 3.4442e+04 5.2784e+01
919 8.2620e-01 8.5197e-01 1.1040e+01 6.8730e+00 3.1210e+00 5.3624e-01 3.4459e+04 5.2833e+01
920 8.2700e-01 8.5192e-01 1.1041e+01 6.8779e+00 3.1266e+00 5.2502e-01 3.4461e+04 5.2880e+01
921 8.2700e-01 8.5188e-01 1.1051e+01 6.8778e+00 3.1207e+00 5.5788e-01 3.4465e+04 5.2927e+01
922 8.2740e-01 8.5202e-01 1.1050e+01 6.8773e+00 3.1227e+00 6.2939e-01 3.4486e+04 5.2976e+01
923 8.2800e-01 8.5228e-01 1.1060e+01 6.8809e+00 3.1218e+00 5.9473e-01 3.4488e+04 5.3023e+01
924 8.2760e-01 8.5240e-01 1.1067e+01 6.8815e+00 3.1238e+00 5.4676e-01 3.4500e+04 5.3073e+01
925 8.2780e-01 8.5240e-01 1.1073e+01 6.8772e+00 3.1178e+00 5.4254e-01 3.4523e+04 5.3121e+01
926 8.2720e-01 8.5247e-01 1.1079e+01 6.8801e+00 3.1222e+00 5.5461e-01 3.4526e+04 5.3170e+01
927 8.2780e-01 8.5242e-01 1.1084e+01 6.8766e+00 3.1175e+00 5.6876e-01 3.4544e+04 5.3218e+01
928 8.2800e-01 8.5250e-01 1.1076e+01 6.8757e+00 3.1215e+00 5.9484e-01 3.4553e+04 5.3266e+01
929 8.2800e-01 8.5323e-01 1.1073e+01 6.8731e+00 3.1258e+00 6.1962e-01 3.4568e+04 5.3316e+01
930 8.2860e-01 8.5313e-01 1.1081e+01 6.8788e+00 3.1319e+00 5.6240e-01 3.4570e+04 5.3365e+01
931 8.2840e-01 8.5327e-01 1.1081e+01 6.8764e+00 3.1371e+00 4.6891e-01 3.4576e+04 5.3414e+01
932 8.2840e-01 8.5343e-01 1.1100e+01 6.8821e+00 3.1437e+00 2.8577e-01 3.4581e+04 5.3463e+01
933 8.2860e-01 8.5342e-01 1.1104e+01 6.8824e+00 3.1400e+00 3.6762e-01 3.4614e+04 5.3512e+01
934 8.2900e-01 8.5343e-01 1.1106e+01 6.8846e+00 3.1461e+00 3.7603e-01 3.4604e+04 5.3561e+01
935 8.2960e-01 8.5362e-01 1.1116e+01 6.8842e+00 3.1487e+00 3.9450e-01 3.4619e+04 5.3611e+01
936 8.3060e-01 8.5400e-01 1.1118e+01 6.8817e+00 3.1525e+00 3.6404e-01 3.4645e+04 5.3660e+01
937 8.3020e-01 8.5418e-01 1.1138e+01 6.8778e+00 3.1542e+00 3.7755e-01 3.4645e+04 5.3708e+01
938 8.2980e-01 8.5363e-01 1.1141e+01 6.8749e+00 3.1598e+00 3.6492e-01 3.4661e+04 5.3756e+01
939 8.3020e-01 8.5383e-01 1.1148e+01 6.8783e+00 3.1642e+00 4.8510e-01 3.4672e+04 5.3804e+01
940 8.3100e-01 8.5363e-01 1.1152e+01 6.8792e+00 3.1732e+00 4.4475e-01 3.4689e+04 5.3852e+01
941 8.3060e-01 8.5375e-01 1.1145e+01 6.8767e+00 3.1761e+00 4.0660e-01 3.4704e+04 5.3900e+01
942 8.2980e-01 8.5362e-01 1.1152e+01 6.8729e+00 3.1760e+00 3.9103e-01 3.4720e+04 5.3949e+01
943 8.2940e-01 8.5328e-01 1.1152e+01 6.8737e+00 3.1794e+00 2.8538e-01 3.4718e+04 5.3998e+01
944 8.2920e-01 8.5363e-01 1.1156e+01 6.8693e+00 3.1847e+00 2.9910e-01 3.4750e+04 5.4046e+01
945 8.3000e-01 8.5415e-01 1.1164e+01 6.8716e+00 3.1832e+00 4.6701e-01 3.4751e+04 5.4095e+01
946 8.3060e-01 8.5435e-01 1.1171e+01 6.8746e+00 3.1890e+00 5.2556e-01 3.4753e+04 5.4143e+01
947 8.2960e-01 8.5412e-01 1.1184e+01 6.8741e+00 3.1923e+00 5.0846e-01 3.4764e+04 5.4192e+01
948 8.3020e-01 8.5452e-01 1.1185e+01 6.8737e+00 3.1922e+00 5.0516e-01 3.4798e+04 5.4240e+01
949 8.3120e-01 8.5457e-01 1.1197e+01 6.8750e+00 3.1925e+00 4.3174e-01 3.4803e+04 5.4289e+01
950 8.3080e-01 8.5422e-01 1.1196e+01 6.8747e+00 3.1936e+00 3.5993e-01 3.4823e+04 5.4338e+01
951 8.3140e-01 8.5452e-01 1.1196e+01 6.8745e+00 3.1940e+00 3.9505e-01 3.4820e+04 5.4387e+01
952 8.2980e-01 8.5415e-01 1.1201e+01 6.8779e+00 3.1986e+00 3.8095e-01 3.4834e+04 5.4436e+01
953 8.2960e-01 8.5392e-01 1.1204e+01 6.8804e+00 3.2084e+00 3.8096e-01 3.4850e+04 5.4484e+01
954 8.3020e-01 8.5395e-01 1.1221e+01 6.8804e+00 3.2118e+00 4.2643e-01 3.4870e+04 5.4532e+01
955 8.2960e-01 8.5418e-01 1.1220e+01 6.8785e+00 3.2149e+00 4.0090e-01 3.4885e+04 5.4581e+01
956 8.2940e-01 8.5410e-01 1.1219e+01 6.8824e+00 3.2174e+00 3.9379e-01 3.4897e+04 5.4629e+01
957 8.2940e-01 8.5382e-01 1.1218e+01 6.8869e+00 3.2214e+00 3.2361e-01 3.4908e+04 5.4678e+01
958 8.3000e-01 8.5388e-01 1.1226e+01 6.8861e+00 3.2275e+00 3.3730e-01 3.4898e+04 5.4726e+01
959 8.2920e-01 8.5378e-01 1.1223e+01 6.8896e+00 3.2315e+00 3.6422e-01 3.4900e+04 5.4776e+01
960 8.2960e-01 8.5422e-01 1.1226e+01 6.8826e+00 3.2320e+00 4.0253e-01 3.4918e+04 5.4826e+01
961 8.2960e-01 8.5433e-01 1.1240e+01 6.8892e+00 3.2327e+00 3.8186e-01 3.4937e+04 5.4875e+01
962 8.3000e-01 8.5467e-01 1.1243e+01 6.8915e+00 3.2270e+00 3.7167e-01 3.4941e+04 5.4923e+01
963 8.3020e-01 8.5493e-01 1.1254e+01 6.8905e+00 3.2261e+00 3.6004e-01 3.4953e+04 5.4972e+01
964 8.3060e-01 8.5560e-01 1.1241e+01 6.8933e+00 3.2265e+00 4.5466e-01 3.4951e+04 5.5020e+01
965 8.3100e-01 8.5555e-01 1.1240e+01 6.8898e+00 3.2253e+00 4.8200e-01 3.4962e+04 5.5068e+01
966 8.3080e-01 8.5577e-01 1.1232e+01 6.8871e+00 3.2207e+00 4.3406e-01 3.4965e+04 5.5118e+01
967 8.3100e-01 8.5577e-01 1.1231e+01 6.8895e+00 3.2227e+00 5.0448e-01 3.4969e+04 5.5167e+01
968 8.3200e-01 8.5585e-01 1.1236e+01 6.8866e+00 3.2355e+00 3.2065e-01 3.4987e+04 5.5215e+01
969 8.3140e-01 8.5602e-01 1.1242e+01 6.8874e+00 3.2372e+00 3.9050e-01 3.4987e+04 5.5264e+01
970 8.3120e-01 8.5605e-01 1.1237e+01 6.8941e+00 3.2400e+00 2.7089e-01 3.4999e+04 5.5313e+01
971 8.3180e-01 8.5585e-01 1.1238e+01 6.8925e+00 3.2461e+00 3.2694e-01 3.5014e+04 5.5362e+01
972 8.3220e-01 8.5640e-01 1.1246e+01 6.8919e+00 3.2577e+00 3.5490e-01 3.5020e+04 5.5412e+01
973 8.3240e-01 8.5652e-01 1.1241e+01 6.8896e+00 3.2575e+00 3.8152e-01 3.5035e+04 5.5461e+01
974 8.3160e-01 8.5648e-01 1.1244e+01 6.8870e+00 3.2584e+00 4.2758e-01 3.5048e+04 5.5511e+01
975 8.3240e-01 8.5637e-01 1.1249e+01 6.8852e+00 3.2615e+00 3.7359e-01 3.5075e+04 5.5560e+01
976 8.3240e-01 8.5630e-01 1.1264e+01 6.8857e+00 3.2657e+00 3.2414e-01 3.5094e+04 5.5608e+01
977 8.3200e-01 8.5623e-01 1.1269e+01 6.8891e+00 3.2674e+00 3.6540e-01 3.5095e+04 5.5659e+01
978 8.3240e-01 8.5627e-01 1.1266e+01 6.8956e+00 3.2809e+00 4.2397e-01 3.5098e+04 5.5709e+01
979 8.3240e-01 8.5612e-01 1.1273e+01 6.8967e+00 3.2787e+00 4.1741e-01 3.5107e+04 5.5758e+01
980 8.3220e-01 8.5563e-01 1.1277e+01 6.8988e+00 3.2762e+00 4.7559e-01 3.5122e+04 5.5808e+01
981 8.3180e-01 8.5583e-01 1.1277e+01 6.8974e+00 3.2714e+00 5.4457e-01 3.5131e+04 5.5856e+01
982 8.3220e-01 8.5592e-01 1.1293e+01 6.8980e+00 3.2837e+00 4.8730e-01 3.5134e+04 5.5905e+01
983 8.3220e-01 8.5595e-01 1.1300e+01 6.8959e+00 3.2936e+00 4.4715e-01 3.5128e+04 5.5954e+01
984 8.3180e-01 8.5588e-01 1.1296e+01 6.8990e+00 3.2949e+00 4.1716e-01 3.5154e+04 5.6001e+01
985 8.3080e-01 8.5627e-01 1.1301e+01 6.8921e+00 3.2909e+00 4.6405e-01 3.5163e+04 5.6049e+01
986 8.3060e-01 8.5608e-01 1.1305e+01 6.8932e+00 3.2962e+00 4.1884e-01 3.5163e+04 5.6095e+01
987 8.3100e-01 8.5630e-01 1.1315e+01 6.8944e+00 3.2993e+00 3.3032e-01 3.5184e+04 5.6145e+01
988 8.3100e-01 8.5650e-01 1.1309e+01 6.8940e+00 3.3033e+00 4.2694e-01 3.5187e+04 5.6193e+01
989 8.3100e-01 8.5610e-01 1.1300e+01 6.8946e+00 3.3077e+00 3.7937e-01 3.5192e+04 5.6241e+01
990 8.3160e-01 8.5608e-01 1.1297e+01 6.8963e+00 3.3093e+00 4.5693e-01 3.5206e+04 5.6288e+01
991 8.3160e-01 8.5657e-01 1.1304e+01 6.9004e+00 3.3179e+00 5.1061e-01 3.5231e+04 5.6337e+01
992 8.3160e-01 8.5685e-01 1.1300e+01 6.9021e+00 3.3231e+00 5.0367e-01 3.5226e+04 5.6385e+01
993 8.3200e-01 8.5630e-01 1.1318e+01 6.9027e+00 3.3223e+00 5.1188e-01 3.5227e+04 5.6433e+01
994 8.3260e-01 8.5707e-01 1.1320e+01 6.9039e+00 3.3295e+00 5.7144e-01 3.5241e+04 5.6481e+01
995 8.3260e-01 8.5678e-01 1.1326e+01 6.8991e+00 3.3284e+00 5.7649e-01 3.5250e+04 5.6529e+01
996 8.3320e-01 8.5675e-01 1.1335e+01 6.8976e+00 3.3281e+00 5.5516e-01 3.5275e+04 5.6578e+01
997 8.3340e-01 8.5685e-01 1.1341e+01 6.8984e+00 3.3327e+00 4.1470e-01 3.5296e+04 5.6627e+01
998 8.3380e-01 8.5650e-01 1.1341e+01 6.8955e+00 3.3313e+00 4.0434e-01 3.5322e+04 5.6677e+01
999 8.3380e-01 8.5660e-01 1.1354e+01 6.8905e+00 3.3269e+00 4.1753e-01 3.5327e+04 5.6726e+01
1000 8.3380e-01 8.5640e-01 1.1371e+01 6.8891e+00 3.3274e+00 3.8770e-01 3.5327e+04 5.6776e+01
1001 8.3360e-01 8.5692e-01 1.1373e+01 6.8904e+00 3.3263e+00 4.0587e-01 3.5338e+04 5.6824e+01
1002 8.3400e-01 8.5677e-01 1.1381e+01 6.8929e+00 3.3268e+00 2.9922e-01 3.5352e+04 5.6874e+01
1003 8.3300e-01 8.5650e-01 1.1388e+01 6.8952e+00 3.3252e+00 3.7524e-01 3.5359e+04 5.6923e+01
1004 8.3340e-01 8.5692e-01 1.1386e+01 6.8917e+00 3.3265e+00 3.9941e-01 3.5361e+04 5.6971e+01
1005 8.3420e-01 8.5698e-01 1.1389e+01 6.8934e+00 3.3264e+00 4.8883e-01 3.5381e+04 5.7019e+01
1006 8.3360e-01 8.5733e-01 1.1383e+01 6.8937e+00 3.3240e+00 4.2028e-01 3.5396e+04 5.7068e+01
1007 8.3400e-01 8.5723e-01 1.1388e+01 6.8922e+00 3.3293e+00 4.0918e-01 3.5413e+04 5.7116e+01
1008 8.3400e-01 8.5758e-01 1.1388e+01 6.8940e+00 3.3340e+00 4.7009e-01 3.5419e+04 5.7165e+01
1009 8.3400e-01 8.5763e-01 1.1388e+01 6.8925e+00 3.3368e+00 4.4935e-01 3.5436e+04 5.7214e+01
1010 8.3520e-01 8.5795e-01 1.1401e+01 6.8893e+00 3.3371e+00 4.2938e-01 3.5434e+04 5.7261e+01
1011 8.3500e-01 8.5783e-01 1.1401e+01 6.8861e+00 3.3382e+00 4.8760e-01 3.5457e+04 5.7309e+01
1012 8.3460e-01 8.5792e-01 1.1393e+01 6.8899e+00 3.3427e+00 5.6390e-01 3.5452e+04 5.7357e+01
1013 8.3440e-01 8.5823e-01 1.1400e+01 6.8955e+00 3.3423e+00 5.6754e-01 3.5471e+04 5.7406e+01
1014 8.3420e-01 8.5802e-01 1.1405e+01 6.9004e+00 3.3417e+00 5.9575e-01 3.5467e+04 5.7454e+01
1015 8.3420e-01 8.5815e-01 1.1417e+01 6.9005e+00 3.3426e+00 5.1097e-01 3.5488e+04 5.7502e+01
1016 8.3480e-01 8.5817e-01 1.1426e+01 6.8986e+00 3.3477e+00 5.1586e-01 3.5497e+04 5.7552e+01
1017 8.3480e-01 8.5810e-01 1.1431e+01 6.9039e+00 3.3443e+00 5.0421e-01 3.5502e+04 5.7601e+01
1018 8.3540e-01 8.5797e-01 1.1443e+01 6.9023e+00 3.3483e+00 4.5456e-01 3.5523e+04 5.7649e+01
1019 8.3500e-01 8.5787e-01 1.1441e+01 6.9018e+00 3.3535e+00 4.2351e-01 3.5533e+04 5.7697e+01
1020 8.3520e-01 8.5767e-01 1.1449e+01 6.9071e+00 3.3597e+00 4.0526e-01 3.5554e+04 5.7746e+01
1021 8.3480e-01 8.5783e-01 1.1455e+01 6.9143e+00 3.3614e+00 4.0944e-01 3.5573e+04 5.7796e+01
1022 8.3480e-01 8.5807e-01 1.1444e+01 6.9152e+00 3.3691e+00 3.8763e-01 3.5577e+04 5.7845e+01
1023 8.3540e-01 8.5828e-01 1.1448e+01 6.9177e+00 3.3666e+00 2.9143e-01 3.5573e+04 5.7894e+01
1024 8.3580e-01 8.5855e-01 1.1446e+01 6.9224e+00 3.3695e+00 3.4755e-01 3.5583e+04 5.7942e+01
1025 8.3480e-01 8.5865e-01 1.1445e+01 6.9261e+00 3.3755e+00 4.4524e-01 3.5591e+04 5.7990e+01
1026 8.3500e-01 8.5877e-01 1.1451e+01 6.9249e+00 3.3816e+00 4.6831e-01 3.5601e+04 5.8039e+01
1027 8.3460e-01 8.5858e-01 1.1458e+01 6.9275e+00 3.3928e+00 5.1390e-01 3.5609e+04 5.8090e+01
1028 8.3440e-01 8.5820e-01 1.1466e+01 6.9274e+00 3.3919e+00 5.8385e-01 3.5604e+04 5.8139e+01
1029 8.3440e-01 8.5822e-01 1.1466e+01 6.9266e+00 3.3960e+00 5.3014e-01 3.5620e+04 5.8187e+01
1030 8.3440e-01 8.5845e-01 1.1471e+01 6.9262e+00 3.3964e+00 4.5175e-01 3.5625e+04 5.8236e+01
1031 8.3500e-01 8.5823e-01 1.1474e+01 6.9260e+00 3.3963e+00 2.9985e-01 3.5631e+04 5.8286e+01
1032 8.3500e-01 8.5800e-01 1.1484e+01 6.9238e+00 3.3979e+00 3.8230e-01 3.5652e+04 5.8338e+01
1033 8.3500e-01 8.5828e-01 1.1489e+01 6.9280e+00 3.4004e+00 3.4275e-01 3.5662e+04 5.8385e+01
1034 8.3500e-01 8.5818e-01 1.1484e+01 6.9308e+00 3.4076e+00 3.4874e-01 3.5672e+04 5.8434e+01
1035 8.3500e-01 8.5780e-01 1.1487e+01 6.9360e+00 3.4119e+00 4.6050e-01 3.5686e+04 5.8483e+01
1036 8.3460e-01 8.5750e-01 1.1484e+01 6.9335e+00 3.4148e+00 4.1832e-01 3.5683e+04 5.8533e+01
1037 8.3480e-01 8.5743e-01 1.1491e+01 6.9335e+00 3.4197e+00 3.9946e-01 3.5694e+04 5.8582e+01
1038 8.3340e-01 8.5745e-01 1.1486e+01 6.9382e+00 3.4164e+00 3.0931e-01 3.5706e+04 5.8631e+01
1039 8.3380e-01 8.5747e-01 1.1487e+01 6.9395e+00 3.4167e+00 3.0346e-01 3.5717e+04 5.8679e+01
1040 8.3240e-01 8.5735e-01 1.1488e+01 6.9414e+00 3.4244e+00 2.8737e-01 3.5729e+04 5.8728e+01
1041 8.3380e-01 8.5758e-01 1.1484e+01 6.9414e+00 3.4208e+00 2.7058e-01 3.5746e+04 5.8776e+01
1042 8.3380e-01 8.5775e-01 1.1486e+01 6.9372e+00 3.4189e+00 3.1245e-01 3.5740e+04 5.8824e+01
1043 8.3380e-01 8.5780e-01 1.1494e+01 6.9415e+00 3.4281e+00 2.3935e-01 3.5758e+04 5.8872e+01
1044 8.3380e-01 8.5773e-01 1.1498e+01 6.9434e+00 3.4267e+00 3.0705e-01 3.5760e+04 5.8921e+01
1045 8.3440e-01 8.5780e-01 1.1498e+01 6.9456e+00 3.4311e+00 2.6920e-01 3.5773e+04 5.8969e+01
1046 8.3480e-01 8.5792e-01 1.1501e+01 6.9452e+00 3.4408e+00 3.0340e-01 3.5797e+04 5.9018e+01
1047 8.3480e-01 8.5797e-01 1.1505e+01 6.9424e+00 3.4491e+00 2.8609e-01 3.5811e+04 5.9067e+01
1048 8.3560e-01 8.5830e-01 1.1511e+01 6.9466e+00 3.4459e+00 4.3847e-01 3.5817e+04 5.9114e+01
1049 8.3540e-01 8.5828e-01 1.1506e+01 6.9486e+00 3.4497e+00 5.0629e-01 3.5825e+04 5.9163e+01
1050 8.3560e-01 8.5797e-01 1.1509e+01 6.9523e+00 3.4567e+00 4.9837e-01 3.5835e+04 5.9211e+01
1051 8.3500e-01 8.5793e-01 1.1504e+01 6.9533e+00 3.4554e+00 4.4107e-01 3.5841e+04 5.9259e+01
1052 8.3460e-01 8.5807e-01 1.1511e+01 6.9584e+00 3.4630e+00 4.2632e-01 3.5855e+04 5.9307e+01
1053 8.3460e-01 8.5830e-01 1.1518e+01 6.9563e+00 3.4657e+00 4.4130e-01 3.5861e+04 5.9354e+01
1054 8.3480e-01 8.5853e-01 1.1525e+01 6.9579e+00 3.4644e+00 4.6581e-01 3.5865e+04 5.9404e+01
1055 8.3560e-01 8.5862e-01 1.1520e+01 6.9531e+00 3.4679e+00 3.5209e-01 3.5879e+04 5.9453e+01
1056 8.3560e-01 8.5870e-01 1.1527e+01 6.9583e+00 3.4743e+00 3.7731e-01 3.5882e+04 5.9501e+01
1057 8.3500e-01 8.5872e-01 1.1526e+01 6.9580e+00 3.4768e+00 4.4977e-01 3.5898e+04 5.9550e+01
1058 8.3460e-01 8.5848e-01 1.1525e+01 6.9611e+00 3.4761e+00 4.5111e-01 3.5919e+04 5.9598e+01
1059 8.3460e-01 8.5863e-01 1.1528e+01 6.9573e+00 3.4826e+00 4.3056e-01 3.5916e+04 5.9647e+01
1060 8.3480e-01 8.5892e-01 1.1522e+01 6.9652e+00 3.4867e+00 4.3043e-01 3.5934e+04 5.9697e+01
1061 8.3460e-01 8.5877e-01 1.1516e+01 6.9678e+00 3.4838e+00 3.9874e-01 3.5942e+04 5.9746e+01
1062 8.3420e-01 8.5877e-01 1.1522e+01 6.9706e+00 3.4874e+00 4.7401e-01 3.5944e+04 5.9794e+01
1063 8.3460e-01 8.5875e-01 1.1532e+01 6.9684e+00 3.4870e+00 5.2973e-01 3.5946e+04 5.9842e+01
1064 8.3440e-01 8.5835e-01 1.1529e+01 6.9710e+00 3.4930e+00 5.0005e-01 3.5944e+04 5.9891e+01
1065 8.3440e-01 8.5842e-01 1.1536e+01 6.9710e+00 3.4945e+00 5.7976e-01 3.5983e+04 5.9939e+01
1066 8.3440e-01 8.5822e-01 1.1531e+01 6.9671e+00 3.4943e+00 4.8858e-01 3.5970e+04 5.9987e+01
1067 8.3400e-01 8.5877e-01 1.1541e+01 6.9682e+00 3.4983e+00 5.6421e-01 3.6004e+04 6.0035e+01
1068 8.3440e-01 8.5895e-01 1.1550e+01 6.9650e+00 3.4975e+00 5.4125e-01 3.5999e+04 6.0084e+01
1069 8.3440e-01 8.5913e-01 1.1557e+01 6.9706e+00 3.5049e+00 4.8159e-01 3.6024e+04 6.0132e+01
1070 8.3540e-01 8.5875e-01 1.1566e+01 6.9740e+00 3.5149e+00 4.9985e-01 3.6027e+04 6.0182e+01
1071 8.3500e-01 8.5882e-01 1.1563e+01 6.9758e+00 3.5175e+00 3.9922e-01 3.6030e+04 6.0232e+01
1072 8.3520e-01 8.5898e-01 1.1570e+01 6.9779e+00 3.5135e+00 4.1492e-01 3.6033e+04 6.0282e+01
1073 8.3540e-01 8.5852e-01 1.1576e+01 6.9761e+00 3.5118e+00 4.1473e-01 3.6043e+04 6.0332e+01
1074 8.3460e-01 8.5857e-01 1.1586e+01 6.9817e+00 3.5105e+00 3.8218e-01 3.6066e+04 6.0380e+01
1075 8.3540e-01 8.5885e-01 1.1589e+01 6.9799e+00 3.5122e+00 3.3359e-01 3.6074e+04 6.0427e+01
1076 8.3500e-01 8.5915e-01 1.1586e+01 6.9750e+00 3.5138e+00 4.3226e-01 3.6072e+04 6.0475e+01
1077 8.3600e-01 8.5913e-01 1.1593e+01 6.9724e+00 3.5124e+00 4.1172e-01 3.6084e+04 6.0524e+01
1078 8.3540e-01 8.5897e-01 1.1608e+01 6.9746e+00 3.5114e+00 3.8342e-01 3.6092e+04 6.0574e+01
1079 8.3600e-01 8.5877e-01 1.1616e+01 6.9775e+00 3.5152e+00 3.3586e-01 3.6089e+04 6.0623e+01
1080 8.3660e-01 8.5920e-01 1.1620e+01 6.9797e+00 3.5147e+00 3.5111e-01 3.6104e+04 6.0674e+01
1081 8.3580e-01 8.5917e-01 1.1625e+01 6.9853e+00 3.5190e+00 4.2453e-01 3.6113e+04 6.0722e+01
1082 8.3560e-01 8.5905e-01 1.1627e+01 6.9853e+00 3.5191e+00 3.9733e-01 3.6125e+04 6.0773e+01
1083 8.3560e-01 8.5897e-01 1.1627e+01 6.9835e+00 3.5232e+00 2.3618e-01 3.6152e+04 6.0821e+01
1084 8.3600e-01 8.5897e-01 1.1631e+01 6.9897e+00 3.5282e+00 3.2669e-01 3.6137e+04 6.0871e+01
1085 8.3540e-01 8.5888e-01 1.1649e+01 6.9826e+00 3.5258e+00 2.8039e-01 3.6154e+04 6.0920e+01
1086 8.3620e-01 8.5867e-01 1.1651e+01 6.9826e+00 3.5316e+00 2.6040e-01 3.6166e+04 6.0968e+01
1087 8.3520e-01 8.5887e-01 1.1644e+01 6.9829e+00 3.5339e+00 2.9723e-01 3.6193e+04 6.1017e+01
1088 8.3620e-01 8.5898e-01 1.1650e+01 6.9862e+00 3.5378e+00 3.3378e-01 3.6186e+04 6.1066e+01
1089 8.3680e-01 8.5850e-01 1.1646e+01 6.9842e+00 3.5376e+00 3.1961e-01 3.6199e+04 6.1115e+01
1090 8.3620e-01 8.5855e-01 1.1641e+01 6.9839e+00 3.5405e+00 3.5251e-01 3.6211e+04 6.1165e+01
1091 8.3540e-01 8.5858e-01 1.1648e+01 6.9788e+00 3.5415e+00 3.7160e-01 3.6198e+04 6.1213e+01
1092 8.3580e-01 8.5808e-01 1.1650e+01 6.9796e+00 3.5363e+00 3.3509e-01 3.6212e+04 6.1261e+01
1093 8.3580e-01 8.5810e-01 1.1663e+01 6.9853e+00 3.5450e+00 2.9453e-01 3.6223e+04 6.1309e+01
1094 8.3580e-01 8.5825e-01 1.1659e+01 6.9878e+00 3.5489e+00 3.2400e-01 3.6238e+04 6.1358e+01
1095 8.3500e-01 8.5803e-01 1.1670e+01 6.9892e+00 3.5532e+00 2.7028e-01 3.6237e+04 6.1406e+01
1096 8.3540e-01 8.5827e-01 1.1674e+01 6.9955e+00 3.5529e+00 2.8230e-01 3.6253e+04 6.1454e+01
1097 8.3560e-01 8.5842e-01 1.1689e+01 6.9976e+00 3.5536e+00 3.1145e-01 3.6260e+04 6.1503e+01
1098 8.3560e-01 8.5840e-01 1.1691e+01 6.9988e+00 3.5491e+00 3.1865e-01 3.6248e+04 6.1553e+01
1099 8.3600e-01 8.5882e-01 1.1682e+01 6.9969e+00 3.5533e+00 4.4530e-01 3.6274e+04 6.1601e+01
1100 8.3640e-01 8.5897e-01 1.1692e+01 6.9963e+00 3.5494e+00 4.2457e-01 3.6276e+04 6.1649e+01
1101 8.3620e-01 8.5885e-01 1.1685e+01 6.9979e+00 3.5502e+00 5.2812e-01 3.6269e+04 6.1698e+01
1102 8.3560e-01 8.5843e-01 1.1679e+01 6.9990e+00 3.5524e+00 5.3549e-01 3.6296e+04 6.1748e+01
1103 8.3580e-01 8.5832e-01 1.1679e+01 6.9989e+00 3.5546e+00 5.1129e-01 3.6300e+04 6.1797e+01
1104 8.3580e-01 8.5865e-01 1.1693e+01 6.9967e+00 3.5567e+00 4.9357e-01 3.6291e+04 6.1846e+01
1105 8.3540e-01 8.5905e-01 1.1703e+01 6.9935e+00 3.5598e+00 4.0906e-01 3.6309e+04 6.1895e+01
1106 8.3480e-01 8.5910e-01 1.1705e+01 6.9951e+00 3.5619e+00 4.2533e-01 3.6323e+04 6.1945e+01
1107 8.3580e-01 8.5893e-01 1.1702e+01 6.9960e+00 3.5628e+00 3.8538e-01 3.6350e+04 6.1992e+01
1108 8.3560e-01 8.5923e-01 1.1700e+01 6.9974e+00 3.5665e+00 4.6616e-01 3.6350e+04 6.2041e+01
1109 8.3500e-01 8.5890e-01 1.1698e+01 6.9998e+00 3.5635e+00 4.9388e-01 3.6358e+04 6.2089e+01
1110 8.3480e-01 8.5888e-01 1.1701e+01 6.9995e+00 3.5747e+00 5.6771e-01 3.6368e+04 6.2138e+01
1111 8.3560e-01 8.5880e-01 1.1702e+01 7.0025e+00 3.5845e+00 5.1050e-01 3.6380e+04 6.2187e+01
1112 8.3580e-01 8.5883e-01 1.1699e+01 6.9990e+00 3.5900e+00 5.2294e-01 3.6382e+04 6.2235e+01
1113 8.3640e-01 8.5888e-01 1.1710e+01 6.9987e+00 3.5899e+00 4.5593e-01 3.6398e+04 6.2283e+01
1114 8.3680e-01 8.5915e-01 1.1713e+01 7.0016e+00 3.5957e+00 5.3887e-01 3.6417e+04 6.2332e+01
1115 8.3600e-01 8.5935e-01 1.1718e+01 7.0058e+00 3.6058e+00 5.6411e-01 3.6404e+04 6.2380e+01
1116 8.3600e-01 8.5963e-01 1.1720e+01 7.0096e+00 3.6096e+00 4.7839e-01 3.6430e+04 6.2429e+01
1117 8.3640e-01 8.5962e-01 1.1730e+01 7.0111e+00 3.6198e+00 4.4768e-01 3.6429e+04 6.2478e+01
1118 8.3600e-01 8.5972e-01 1.1719e+01 7.0089e+00 3.6240e+00 4.1482e-01 3.6444e+04 6.2527e+01
1119 8.3560e-01 8.5972e-01 1.1722e+01 7.0104e+00 3.6290e+00 3.9111e-01 3.6431e+04 6.2576e+01
1120 8.3620e-01 8.5990e-01 1.1732e+01 7.0128e+00 3.6306e+00 4.4136e-01 3.6448e+04 6.2626e+01
1121 8.3560e-01 8.6007e-01 1.1741e+01 7.0123e+00 3.6298e+00 4.0596e-01 3.6456e+04 6.2674e+01
1122 8.3560e-01 8.6005e-01 1.1751e+01 7.0125e+00 3.6276e+00 4.6431e-01 3.6475e+04 6.2723e+01
1123 8.3500e-01 8.5973e-01 1.1759e+01 7.0076e+00 3.6288e+00 4.2174e-01 3.6505e+04 6.2771e+01
1124 8.3520e-01 8.5975e-01 1.1768e+01 7.0117e+00 3.6242e+00 4.4858e-01 3.6499e+04 6.2819e+01
1125 8.3580e-01 8.5997e-01 1.1765e+01 7.0106e+00 3.6293e+00 3.8808e-01 3.6499e+04 6.2868e+01
1126 8.3560e-01 8.6025e-01 1.1769e+01 7.0172e+00 3.6281e+00 3.6979e-01 3.6500e+04 6.2916e+01
