,accuracy_train,accuracy_test,W_norm,a_norm,W_bias_norm,a_bias_norm
0,0.12041666666666667,0.1106,0.09908688813447952,0.0807478055357933,0.10614587366580963,0.12795011699199677
1,0.7718333333333334,0.7492,0.09502609819173813,1.3948973417282104,0.09910950809717178,0.3738986551761627
2,0.8319333333333333,0.8032,0.07618534564971924,0.9406073093414307,0.08471673727035522,0.8491240739822388
3,0.8745833333333334,0.8432,0.06596585363149643,0.6825324296951294,0.07373980432748795,0.5103529691696167
4,0.8892166666666667,0.8648,0.05857357755303383,0.664271891117096,0.06709277629852295,0.5074160099029541
5,0.9049,0.88,0.053582813590765,0.6634007692337036,0.06683561950922012,0.2579929530620575
6,0.91165,0.893,0.04961984232068062,0.7121437788009644,0.05522344633936882,0.20737971365451813
7,0.9197333333333333,0.898,0.047127753496170044,0.732430636882782,0.05569969862699509,0.27942389249801636
8,0.9228666666666666,0.9044,0.0450914204120636,0.7775959372520447,0.05431272089481354,0.3123767673969269
9,0.9259833333333334,0.9038,0.04354187846183777,0.7755436301231384,0.04893605411052704,0.3605181872844696
10,0.9269333333333334,0.9036,0.042441245168447495,0.7940731644630432,0.03628592938184738,0.37046006321907043
11,0.9269333333333334,0.9036,0.042441245168447495,0.7940731644630432,0.03628592938184738,0.37046006321907043
12,0.9287166666666666,0.9022,0.04203952103853226,0.7869135141372681,0.028916966170072556,0.3245706260204315
13,0.9294833333333333,0.9016,0.041594248265028,0.8037566542625427,0.03134294971823692,0.3845535218715668
14,0.9296166666666666,0.9054,0.040876686573028564,0.8007186055183411,0.03392691910266876,0.4255601167678833
15,0.9322666666666667,0.9118,0.04035434126853943,0.8191789388656616,0.023481149226427078,0.4408975839614868
16,0.9301166666666667,0.9056,0.03984156996011734,0.826768159866333,0.03278202936053276,0.4207823872566223
17,0.933,0.9122,0.039826855063438416,0.8294249176979065,0.0296501275151968,0.35721591114997864
18,0.9328166666666666,0.9092,0.03930315747857094,0.8384382724761963,0.024867763742804527,0.3914022743701935
19,0.9327333333333333,0.9126,0.03938031941652298,0.8162528276443481,0.02761669084429741,0.2708752453327179
20,0.9322,0.9092,0.03880418464541435,0.8530340194702148,0.02562580816447735,0.33541345596313477
21,0.9334166666666667,0.9098,0.038984768092632294,0.8306189179420471,0.035571902990341187,0.36335834860801697
22,0.9337666666666666,0.9082,0.038929905742406845,0.8356989026069641,0.03470989316701889,0.3828141689300537
23,0.9337666666666666,0.9082,0.038929905742406845,0.8356989026069641,0.03470989316701889,0.3828141689300537
24,0.9344166666666667,0.9112,0.039155565202236176,0.8386737704277039,0.035290252417325974,0.3182287812232971
25,0.9344166666666667,0.9112,0.039155565202236176,0.8386737704277039,0.035290252417325974,0.3182287812232971
26,0.9327833333333333,0.9086,0.0388982817530632,0.8272175192832947,0.03133523836731911,0.2749502956867218
27,0.9339166666666666,0.9108,0.038620494306087494,0.8458012938499451,0.03261704742908478,0.3422051668167114
28,0.9339166666666666,0.9108,0.038620494306087494,0.8458012938499451,0.03261704742908478,0.3422051668167114
29,0.9339,0.912,0.03878882899880409,0.8313525915145874,0.0357985720038414,0.31123220920562744
30,0.9339,0.912,0.03878882899880409,0.8313525915145874,0.0357985720038414,0.31123220920562744
31,0.9339,0.912,0.03878882899880409,0.8313525915145874,0.0357985720038414,0.31123220920562744
32,0.93475,0.9084,0.03867250680923462,0.8255783915519714,0.030941825360059738,0.36745667457580566
33,0.93475,0.9084,0.03867250680923462,0.8255783915519714,0.030941825360059738,0.36745667457580566
34,0.93475,0.9084,0.03867250680923462,0.8255783915519714,0.030941825360059738,0.36745667457580566
35,0.93475,0.9084,0.03867250680923462,0.8255783915519714,0.030941825360059738,0.36745667457580566
36,0.9347166666666666,0.9088,0.03855434060096741,0.8357474207878113,0.0409708209335804,0.30341190099716187
37,0.9351,0.908,0.038712404668331146,0.8456440567970276,0.03417133167386055,0.3036240339279175
38,0.93515,0.9096,0.038509268313646317,0.859082818031311,0.037833087146282196,0.3924083411693573
39,0.93495,0.907,0.03824176639318466,0.862395703792572,0.037936583161354065,0.293864369392395
40,0.93495,0.907,0.03824176639318466,0.862395703792572,0.037936583161354065,0.293864369392395
41,0.93495,0.9094,0.038330353796482086,0.8271905183792114,0.04432068020105362,0.3576619029045105
42,0.9356833333333333,0.9128,0.0383545346558094,0.8480654358863831,0.04116734489798546,0.32359910011291504
43,0.9369,0.9144,0.037814460694789886,0.8487810492515564,0.03280918300151825,0.3038412928581238
44,0.9357833333333333,0.9058,0.03791423887014389,0.8431575298309326,0.03117867186665535,0.3924505412578583
45,0.9360833333333334,0.911,0.03795347735285759,0.835192084312439,0.03724529594182968,0.21247373521327972
46,0.9355666666666667,0.9078,0.03789299353957176,0.8436943292617798,0.0372018963098526,0.3260289430618286
47,0.9355666666666667,0.9078,0.03789299353957176,0.8436943292617798,0.0372018963098526,0.3260289430618286
48,0.9355666666666667,0.9078,0.03789299353957176,0.8436943292617798,0.0372018963098526,0.3260289430618286
49,0.9358833333333333,0.912,0.03838954493403435,0.8369520902633667,0.04535159096121788,0.37902212142944336
50,0.9347333333333333,0.9072,0.03802977502346039,0.8506101369857788,0.04238244891166687,0.42224928736686707
51,0.9347333333333333,0.9072,0.03802977502346039,0.8506101369857788,0.04238244891166687,0.42224928736686707
52,0.9362166666666667,0.9084,0.03811044991016388,0.8570917248725891,0.042282603681087494,0.37859392166137695
