,accuracy_train,accuracy_test,W_norm,a_norm,W_bias_norm,a_bias_norm
0,0.12041666666666667,0.1106,0.09908688813447952,0.0807478055357933,0.10614587366580963,0.12795011699199677
1,0.12041666666666667,0.1106,0.09908688813447952,0.0807478055357933,0.10614587366580963,0.12795011699199677
2,0.8184166666666667,0.7976,0.13234113156795502,0.6592823266983032,0.11904884874820709,0.1718234121799469
3,0.8573666666666667,0.8298,0.11304786056280136,0.5341172218322754,0.12137553095817566,0.2043241709470749
4,0.8945333333333333,0.8702,0.10081908106803894,0.5081701278686523,0.08687958121299744,0.2660805583000183
5,0.9072666666666667,0.876,0.08959399908781052,0.49274879693984985,0.07645571976900101,0.2865404784679413
6,0.9187833333333333,0.8972,0.08227676898241043,0.494587779045105,0.05392617732286453,0.3189924359321594
7,0.9234333333333333,0.8954,0.07577377557754517,0.4988791048526764,0.052108701318502426,0.3280547559261322
8,0.9311833333333334,0.9086,0.07104315608739853,0.5097836256027222,0.04488060623407364,0.3353337049484253
9,0.93425,0.907,0.06715063750743866,0.522874653339386,0.04118428751826286,0.3367272615432739
10,0.9397666666666666,0.915,0.06420732289552689,0.5401401519775391,0.0320623442530632,0.3326376974582672
11,0.9430833333333334,0.917,0.06129385158419609,0.5567439198493958,0.03780538588762283,0.336297869682312
12,0.9464166666666667,0.9196,0.05928860604763031,0.5798513889312744,0.04192083328962326,0.33461564779281616
13,0.94865,0.9236,0.05775723233819008,0.604982852935791,0.04444853961467743,0.33128002285957336
14,0.9506666666666667,0.925,0.056137923151254654,0.6293162703514099,0.04149964824318886,0.3285886347293854
15,0.9524333333333334,0.9266,0.055204398930072784,0.6525489091873169,0.033516667783260345,0.3353739082813263
16,0.95375,0.9248,0.05439646914601326,0.6760967969894409,0.03928603231906891,0.3408471941947937
17,0.95375,0.9248,0.05439646914601326,0.6760967969894409,0.03928603231906891,0.3408471941947937
18,0.9559,0.9276,0.05379926413297653,0.7014482617378235,0.040094781666994095,0.3492184281349182
19,0.95625,0.9294,0.05361919477581978,0.7236598134040833,0.03156633302569389,0.35767582058906555
20,0.9570333333333333,0.9296,0.05343285948038101,0.7480005025863647,0.028983112424612045,0.35423344373703003
21,0.95835,0.931,0.052907321602106094,0.7693120241165161,0.03572452440857887,0.3551408350467682
22,0.9582833333333334,0.9306,0.05299169942736626,0.7887517809867859,0.03729492053389549,0.35560354590415955
23,0.9599333333333333,0.9338,0.052439868450164795,0.808948814868927,0.033735472708940506,0.35050320625305176
24,0.9601833333333334,0.9312,0.052610691636800766,0.8293527960777283,0.036114029586315155,0.3589659035205841
25,0.9603166666666667,0.9342,0.05245532840490341,0.8481569886207581,0.026603760197758675,0.35229894518852234
26,0.9606166666666667,0.9308,0.052090518176555634,0.8658570051193237,0.02748785726726055,0.3484932780265808
27,0.96055,0.9312,0.051353149116039276,0.8834412693977356,0.03818587213754654,0.3520411252975464
28,0.9611,0.9314,0.05148928984999657,0.8993857502937317,0.03730787709355354,0.3536950349807739
29,0.9622833333333334,0.9322,0.05132410675287247,0.9150874018669128,0.036404501646757126,0.35064852237701416
30,0.9622833333333334,0.9322,0.05132410675287247,0.9150874018669128,0.036404501646757126,0.35064852237701416
31,0.9622833333333334,0.9322,0.05132410675287247,0.9150874018669128,0.036404501646757126,0.35064852237701416
32,0.9618166666666667,0.931,0.05115920677781105,0.9309566617012024,0.028061646968126297,0.35357996821403503
33,0.9622166666666667,0.9346,0.051141317933797836,0.9437277317047119,0.03195718303322792,0.3633553385734558
34,0.9627666666666667,0.932,0.050727929919958115,0.9576632976531982,0.02689443714916706,0.3626587986946106
35,0.9626833333333333,0.9346,0.05068042874336243,0.9719184637069702,0.036269109696149826,0.3552921712398529
36,0.963,0.9304,0.05017879232764244,0.9868215918540955,0.03305239975452423,0.3565351665019989
37,0.96275,0.9322,0.050675034523010254,0.9986184239387512,0.030188413336873055,0.3511941134929657
38,0.9636333333333333,0.9336,0.05038055032491684,1.0152570009231567,0.03651008382439613,0.3522073030471802
39,0.9636666666666667,0.9326,0.05027517303824425,1.0283048152923584,0.036006759852170944,0.3615413308143616
40,0.9640166666666666,0.9324,0.05041961371898651,1.0384280681610107,0.03534183278679848,0.35554176568984985
41,0.9639,0.934,0.0505741685628891,1.0499703884124756,0.0391538180410862,0.37297558784484863
42,0.9640333333333333,0.9336,0.050309982150793076,1.0626065731048584,0.041401129215955734,0.37654730677604675
43,0.9643333333333334,0.9318,0.04986584931612015,1.0759773254394531,0.03715085610747337,0.37558284401893616
44,0.9643666666666667,0.9338,0.04965952783823013,1.084494709968567,0.03386398032307625,0.38114041090011597
45,0.9646333333333333,0.9334,0.049616266041994095,1.097337245941162,0.0405239537358284,0.36774903535842896
46,0.9644666666666667,0.9346,0.04979471117258072,1.1092338562011719,0.03822791576385498,0.3745116889476776
47,0.9649,0.933,0.049894459545612335,1.1213359832763672,0.038303397595882416,0.3813636302947998
48,0.9649,0.933,0.049894459545612335,1.1213359832763672,0.038303397595882416,0.3813636302947998
49,0.9649,0.9362,0.04997668042778969,1.1315733194351196,0.04645104333758354,0.3942447602748871
50,0.9656166666666667,0.9332,0.049746956676244736,1.142449975013733,0.03979404270648956,0.39816340804100037
51,0.96505,0.9354,0.04983694106340408,1.1539599895477295,0.03810203820466995,0.40828871726989746
52,0.9657333333333333,0.933,0.049831096082925797,1.1656975746154785,0.04422903433442116,0.40480244159698486
53,0.9657,0.9376,0.04968871548771858,1.1748725175857544,0.04108808934688568,0.413414865732193
