t test_loss train_loss W_norm W_2_norm b_norm b_2_norm time
1144 1.7580e-01 1.4847e-01 1.9603e+00 2.9368e+00 7.2478e-01 4.2074e-01 1.1023e+01
1145 1.7320e-01 1.4777e-01 1.9635e+00 2.9359e+00 7.2596e-01 4.2194e-01 1.1033e+01
1146 1.7620e-01 1.4850e-01 1.9632e+00 2.9424e+00 7.2794e-01 4.2573e-01 1.1043e+01
1147 1.7440e-01 1.4897e-01 1.9640e+00 2.9391e+00 7.3017e-01 4.1808e-01 1.1052e+01
1148 1.7800e-01 1.4967e-01 1.9609e+00 2.9403e+00 7.3130e-01 4.1721e-01 1.1062e+01
1149 1.7460e-01 1.5008e-01 1.9577e+00 2.9435e+00 7.2481e-01 4.1154e-01 1.1072e+01
1150 1.7620e-01 1.5005e-01 1.9550e+00 2.9461e+00 7.2050e-01 4.1151e-01 1.1081e+01
1151 1.7620e-01 1.5005e-01 1.9550e+00 2.9461e+00 7.2050e-01 4.1151e-01 1.1091e+01
1152 1.7620e-01 1.5005e-01 1.9550e+00 2.9461e+00 7.2050e-01 4.1151e-01 1.1100e+01
1153 1.7480e-01 1.4972e-01 1.9626e+00 2.9442e+00 7.2324e-01 4.0845e-01 1.1110e+01
1154 1.7480e-01 1.4898e-01 1.9585e+00 2.9472e+00 7.2286e-01 4.1448e-01 1.1119e+01
1155 1.7360e-01 1.5028e-01 1.9601e+00 2.9429e+00 7.2539e-01 4.1307e-01 1.1129e+01
1156 1.7380e-01 1.5022e-01 1.9658e+00 2.9372e+00 7.2206e-01 4.1090e-01 1.1139e+01
1157 1.7480e-01 1.4940e-01 1.9657e+00 2.9406e+00 7.2290e-01 4.0751e-01 1.1148e+01
1158 1.7400e-01 1.4848e-01 1.9650e+00 2.9426e+00 7.2499e-01 4.0684e-01 1.1158e+01
1159 1.7280e-01 1.4717e-01 1.9701e+00 2.9432e+00 7.2902e-01 4.0897e-01 1.1167e+01
1160 1.7480e-01 1.4902e-01 1.9691e+00 2.9452e+00 7.2964e-01 4.0716e-01 1.1177e+01
1161 1.7480e-01 1.4902e-01 1.9691e+00 2.9452e+00 7.2964e-01 4.0716e-01 1.1186e+01
1162 1.7560e-01 1.4852e-01 1.9693e+00 2.9423e+00 7.3001e-01 4.0792e-01 1.1196e+01
1163 1.7380e-01 1.4860e-01 1.9734e+00 2.9473e+00 7.2951e-01 4.1266e-01 1.1206e+01
1164 1.7320e-01 1.4855e-01 1.9705e+00 2.9520e+00 7.2875e-01 4.1980e-01 1.1215e+01
1165 1.7240e-01 1.4935e-01 1.9729e+00 2.9527e+00 7.2465e-01 4.2261e-01 1.1225e+01
1166 1.7440e-01 1.5017e-01 1.9716e+00 2.9563e+00 7.2241e-01 4.2575e-01 1.1234e+01
1167 1.7440e-01 1.5017e-01 1.9716e+00 2.9563e+00 7.2241e-01 4.2575e-01 1.1244e+01
1168 1.7880e-01 1.5120e-01 1.9716e+00 2.9544e+00 7.2366e-01 4.2748e-01 1.1254e+01
1169 1.7740e-01 1.5053e-01 1.9663e+00 2.9556e+00 7.2380e-01 4.2964e-01 1.1263e+01
1170 1.7600e-01 1.5062e-01 1.9647e+00 2.9532e+00 7.2029e-01 4.2363e-01 1.1273e+01
1171 1.7620e-01 1.4965e-01 1.9641e+00 2.9497e+00 7.1978e-01 4.1848e-01 1.1282e+01
1172 1.7740e-01 1.4863e-01 1.9632e+00 2.9492e+00 7.2089e-01 4.2128e-01 1.1292e+01
1173 1.7720e-01 1.4918e-01 1.9633e+00 2.9472e+00 7.1926e-01 4.2383e-01 1.1302e+01
1174 1.7500e-01 1.4798e-01 1.9595e+00 2.9463e+00 7.2093e-01 4.1945e-01 1.1312e+01
1175 1.7420e-01 1.4800e-01 1.9640e+00 2.9447e+00 7.1883e-01 4.1874e-01 1.1321e+01
1176 1.7240e-01 1.4822e-01 1.9639e+00 2.9472e+00 7.2290e-01 4.2371e-01 1.1331e+01
1177 1.7240e-01 1.4822e-01 1.9639e+00 2.9472e+00 7.2290e-01 4.2371e-01 1.1340e+01
1178 1.7260e-01 1.4818e-01 1.9623e+00 2.9461e+00 7.2748e-01 4.2018e-01 1.1350e+01
1179 1.7160e-01 1.4867e-01 1.9671e+00 2.9445e+00 7.2411e-01 4.1476e-01 1.1359e+01
1180 1.7080e-01 1.4838e-01 1.9639e+00 2.9525e+00 7.2085e-01 4.1609e-01 1.1369e+01
1181 1.7140e-01 1.4763e-01 1.9654e+00 2.9457e+00 7.3008e-01 4.1152e-01 1.1378e+01
1182 1.7380e-01 1.4898e-01 1.9674e+00 2.9414e+00 7.3212e-01 4.1132e-01 1.1388e+01
1183 1.7180e-01 1.4853e-01 1.9687e+00 2.9446e+00 7.3504e-01 4.1500e-01 1.1398e+01
1184 1.7020e-01 1.4785e-01 1.9726e+00 2.9399e+00 7.3095e-01 4.1837e-01 1.1407e+01
1185 1.7240e-01 1.4805e-01 1.9755e+00 2.9377e+00 7.3325e-01 4.2050e-01 1.1417e+01
1186 1.7280e-01 1.4848e-01 1.9780e+00 2.9399e+00 7.3361e-01 4.2030e-01 1.1427e+01
1187 1.7240e-01 1.4813e-01 1.9745e+00 2.9350e+00 7.3444e-01 4.2219e-01 1.1436e+01
1188 1.7480e-01 1.4925e-01 1.9711e+00 2.9375e+00 7.3770e-01 4.1591e-01 1.1446e+01
1189 1.7520e-01 1.4938e-01 1.9668e+00 2.9440e+00 7.4159e-01 4.0799e-01 1.1455e+01
1190 1.7240e-01 1.4885e-01 1.9688e+00 2.9509e+00 7.4241e-01 4.0970e-01 1.1465e+01
1191 1.7440e-01 1.4765e-01 1.9726e+00 2.9536e+00 7.3776e-01 4.0887e-01 1.1475e+01
1192 1.7420e-01 1.4808e-01 1.9753e+00 2.9545e+00 7.4182e-01 4.0755e-01 1.1484e+01
1193 1.7240e-01 1.4927e-01 1.9778e+00 2.9579e+00 7.4098e-01 4.0627e-01 1.1494e+01
1194 1.7040e-01 1.5005e-01 1.9808e+00 2.9591e+00 7.3543e-01 4.0688e-01 1.1503e+01
1195 1.7240e-01 1.4888e-01 1.9804e+00 2.9612e+00 7.3352e-01 4.0708e-01 1.1513e+01
1196 1.7380e-01 1.4922e-01 1.9832e+00 2.9553e+00 7.3490e-01 4.1063e-01 1.1523e+01
1197 1.7340e-01 1.4900e-01 1.9797e+00 2.9552e+00 7.3225e-01 4.0979e-01 1.1532e+01
1198 1.7400e-01 1.4935e-01 1.9820e+00 2.9559e+00 7.2699e-01 4.0795e-01 1.1542e+01
1199 1.7360e-01 1.4825e-01 1.9870e+00 2.9630e+00 7.2418e-01 4.0674e-01 1.1552e+01
1200 1.6960e-01 1.4727e-01 1.9861e+00 2.9661e+00 7.2584e-01 4.0780e-01 1.1561e+01
1201 1.7240e-01 1.4745e-01 1.9895e+00 2.9655e+00 7.2886e-01 4.0970e-01 1.1571e+01
1202 1.7180e-01 1.4748e-01 1.9884e+00 2.9603e+00 7.3266e-01 4.0811e-01 1.1580e+01
1203 1.7120e-01 1.4763e-01 1.9919e+00 2.9576e+00 7.3335e-01 4.0886e-01 1.1590e+01
1204 1.7120e-01 1.4763e-01 1.9919e+00 2.9576e+00 7.3335e-01 4.0886e-01 1.1599e+01
1205 1.7160e-01 1.4733e-01 1.9941e+00 2.9593e+00 7.3175e-01 4.0317e-01 1.1609e+01
1206 1.7280e-01 1.4717e-01 1.9944e+00 2.9644e+00 7.3167e-01 3.9953e-01 1.1618e+01
1207 1.7200e-01 1.4750e-01 1.9955e+00 2.9685e+00 7.2965e-01 4.0433e-01 1.1628e+01
1208 1.7280e-01 1.4738e-01 1.9886e+00 2.9696e+00 7.3063e-01 4.0445e-01 1.1638e+01
1209 1.7040e-01 1.4695e-01 1.9830e+00 2.9758e+00 7.3650e-01 4.0507e-01 1.1647e+01
1210 1.7060e-01 1.4648e-01 1.9823e+00 2.9733e+00 7.3411e-01 4.0724e-01 1.1657e+01
1211 1.7060e-01 1.4648e-01 1.9823e+00 2.9733e+00 7.3411e-01 4.0724e-01 1.1666e+01
1212 1.7060e-01 1.4648e-01 1.9823e+00 2.9733e+00 7.3411e-01 4.0724e-01 1.1676e+01
1213 1.7140e-01 1.4713e-01 1.9904e+00 2.9780e+00 7.3170e-01 4.0812e-01 1.1685e+01
1214 1.7320e-01 1.4738e-01 1.9922e+00 2.9758e+00 7.3302e-01 4.0801e-01 1.1695e+01
1215 1.7360e-01 1.4638e-01 1.9890e+00 2.9798e+00 7.2818e-01 4.0022e-01 1.1705e+01
1216 1.7360e-01 1.4657e-01 1.9853e+00 2.9829e+00 7.2989e-01 3.9497e-01 1.1714e+01
1217 1.7360e-01 1.4657e-01 1.9853e+00 2.9829e+00 7.2989e-01 3.9497e-01 1.1723e+01
1218 1.7360e-01 1.4657e-01 1.9853e+00 2.9829e+00 7.2989e-01 3.9497e-01 1.1733e+01
1219 1.7360e-01 1.4692e-01 1.9811e+00 2.9835e+00 7.3116e-01 3.9749e-01 1.1742e+01
1220 1.7180e-01 1.4695e-01 1.9807e+00 2.9841e+00 7.3190e-01 4.0202e-01 1.1752e+01
1221 1.7240e-01 1.4648e-01 1.9830e+00 2.9861e+00 7.3306e-01 4.0156e-01 1.1762e+01
1222 1.7180e-01 1.4707e-01 1.9827e+00 2.9864e+00 7.3386e-01 4.0177e-01 1.1771e+01
1223 1.7300e-01 1.4743e-01 1.9777e+00 2.9889e+00 7.2771e-01 3.9635e-01 1.1781e+01
1224 1.7080e-01 1.4612e-01 1.9783e+00 2.9880e+00 7.2990e-01 4.0178e-01 1.1791e+01
1225 1.7220e-01 1.4635e-01 1.9823e+00 2.9882e+00 7.3152e-01 4.0757e-01 1.1800e+01
1226 1.7160e-01 1.4722e-01 1.9854e+00 2.9892e+00 7.3088e-01 4.0680e-01 1.1810e+01
1227 1.7100e-01 1.4672e-01 1.9848e+00 2.9879e+00 7.2939e-01 4.0895e-01 1.1820e+01
1228 1.7020e-01 1.4727e-01 1.9886e+00 2.9932e+00 7.2603e-01 4.0869e-01 1.1829e+01
1229 1.7000e-01 1.4747e-01 1.9898e+00 2.9982e+00 7.2239e-01 4.0961e-01 1.1839e+01
1230 1.6920e-01 1.4700e-01 1.9859e+00 3.0017e+00 7.2025e-01 4.1270e-01 1.1848e+01
1231 1.6860e-01 1.4643e-01 1.9893e+00 3.0048e+00 7.2015e-01 4.1127e-01 1.1858e+01
1232 1.6860e-01 1.4643e-01 1.9893e+00 3.0048e+00 7.2015e-01 4.1127e-01 1.1868e+01
1233 1.6860e-01 1.4643e-01 1.9893e+00 3.0048e+00 7.2015e-01 4.1127e-01 1.1877e+01
1234 1.7120e-01 1.4638e-01 1.9879e+00 3.0021e+00 7.2513e-01 4.1289e-01 1.1887e+01
1235 1.7340e-01 1.4713e-01 1.9884e+00 3.0041e+00 7.2978e-01 4.1118e-01 1.1896e+01
1236 1.7080e-01 1.4693e-01 1.9826e+00 3.0052e+00 7.2374e-01 4.1742e-01 1.1906e+01
1237 1.7020e-01 1.4637e-01 1.9793e+00 3.0037e+00 7.3189e-01 4.2039e-01 1.1915e+01
1238 1.6960e-01 1.4605e-01 1.9783e+00 3.0107e+00 7.3188e-01 4.1890e-01 1.1925e+01
1239 1.7160e-01 1.4667e-01 1.9829e+00 3.0025e+00 7.3254e-01 4.2118e-01 1.1935e+01
1240 1.7220e-01 1.4752e-01 1.9866e+00 3.0087e+00 7.3025e-01 4.2028e-01 1.1944e+01
1241 1.7220e-01 1.4752e-01 1.9866e+00 3.0087e+00 7.3025e-01 4.2028e-01 1.1954e+01
1242 1.7280e-01 1.4802e-01 1.9854e+00 3.0119e+00 7.3271e-01 4.1417e-01 1.1963e+01
1243 1.7180e-01 1.4798e-01 1.9904e+00 3.0113e+00 7.3203e-01 4.1114e-01 1.1973e+01
1244 1.7160e-01 1.4870e-01 1.9903e+00 3.0124e+00 7.3562e-01 4.1781e-01 1.1982e+01
1245 1.7180e-01 1.4770e-01 1.9897e+00 3.0049e+00 7.3659e-01 4.2010e-01 1.1992e+01
1246 1.7260e-01 1.4715e-01 1.9896e+00 3.0077e+00 7.3676e-01 4.1968e-01 1.2002e+01
1247 1.7140e-01 1.4733e-01 1.9916e+00 3.0064e+00 7.3596e-01 4.2216e-01 1.2011e+01
1248 1.7180e-01 1.4667e-01 1.9958e+00 3.0044e+00 7.3111e-01 4.2120e-01 1.2021e+01
1249 1.7280e-01 1.4705e-01 1.9921e+00 3.0063e+00 7.3141e-01 4.2306e-01 1.2031e+01
1250 1.7340e-01 1.4775e-01 1.9886e+00 3.0080e+00 7.2722e-01 4.2030e-01 1.2040e+01
1251 1.7340e-01 1.4755e-01 1.9897e+00 3.0103e+00 7.2890e-01 4.1984e-01 1.2050e+01
1252 1.7360e-01 1.4787e-01 1.9923e+00 3.0080e+00 7.2627e-01 4.2125e-01 1.2059e+01
1253 1.7200e-01 1.4690e-01 1.9947e+00 3.0051e+00 7.2444e-01 4.2684e-01 1.2069e+01
1254 1.7240e-01 1.4650e-01 1.9864e+00 3.0068e+00 7.2318e-01 4.3016e-01 1.2079e+01
1255 1.7380e-01 1.4670e-01 1.9888e+00 3.0132e+00 7.2051e-01 4.2498e-01 1.2088e+01
1256 1.7300e-01 1.4640e-01 1.9823e+00 3.0138e+00 7.1863e-01 4.2761e-01 1.2098e+01
1257 1.7340e-01 1.4680e-01 1.9847e+00 3.0179e+00 7.2336e-01 4.2690e-01 1.2108e+01
1258 1.7160e-01 1.4677e-01 1.9781e+00 3.0148e+00 7.2588e-01 4.2718e-01 1.2117e+01
1259 1.7000e-01 1.4625e-01 1.9753e+00 3.0186e+00 7.2839e-01 4.2421e-01 1.2127e+01
1260 1.7000e-01 1.4625e-01 1.9753e+00 3.0186e+00 7.2839e-01 4.2421e-01 1.2136e+01
1261 1.7200e-01 1.4630e-01 1.9779e+00 3.0184e+00 7.3721e-01 4.2469e-01 1.2146e+01
1262 1.7280e-01 1.4668e-01 1.9820e+00 3.0163e+00 7.3742e-01 4.2469e-01 1.2155e+01
1263 1.7300e-01 1.4700e-01 1.9871e+00 3.0141e+00 7.4028e-01 4.1831e-01 1.2165e+01
1264 1.7260e-01 1.4680e-01 1.9894e+00 3.0121e+00 7.3600e-01 4.1407e-01 1.2175e+01
1265 1.7260e-01 1.4647e-01 1.9892e+00 3.0190e+00 7.3663e-01 4.1247e-01 1.2184e+01
1266 1.7280e-01 1.4712e-01 1.9894e+00 3.0270e+00 7.3491e-01 4.1492e-01 1.2194e+01
1267 1.7440e-01 1.4618e-01 1.9878e+00 3.0259e+00 7.3732e-01 4.1776e-01 1.2203e+01
1268 1.7380e-01 1.4605e-01 1.9887e+00 3.0255e+00 7.4251e-01 4.1018e-01 1.2213e+01
1269 1.7200e-01 1.4582e-01 1.9895e+00 3.0238e+00 7.4472e-01 4.1050e-01 1.2223e+01
1270 1.7220e-01 1.4507e-01 1.9908e+00 3.0205e+00 7.5210e-01 4.1053e-01 1.2232e+01
1271 1.7120e-01 1.4542e-01 1.9880e+00 3.0249e+00 7.4812e-01 4.1342e-01 1.2242e+01
1272 1.7120e-01 1.4542e-01 1.9880e+00 3.0249e+00 7.4812e-01 4.1342e-01 1.2251e+01
1273 1.7120e-01 1.4542e-01 1.9880e+00 3.0249e+00 7.4812e-01 4.1342e-01 1.2261e+01
1274 1.6960e-01 1.4530e-01 1.9893e+00 3.0240e+00 7.5029e-01 4.1198e-01 1.2270e+01
1275 1.7040e-01 1.4473e-01 1.9868e+00 3.0264e+00 7.5227e-01 4.1330e-01 1.2280e+01
1276 1.7160e-01 1.4523e-01 1.9930e+00 3.0253e+00 7.5433e-01 4.1708e-01 1.2289e+01
1277 1.7300e-01 1.4560e-01 1.9928e+00 3.0286e+00 7.5919e-01 4.1051e-01 1.2299e+01
1278 1.7280e-01 1.4588e-01 1.9918e+00 3.0277e+00 7.5663e-01 4.0528e-01 1.2308e+01
1279 1.7100e-01 1.4627e-01 1.9956e+00 3.0366e+00 7.6129e-01 4.0845e-01 1.2318e+01
1280 1.7120e-01 1.4510e-01 1.9904e+00 3.0395e+00 7.6369e-01 4.0764e-01 1.2328e+01
1281 1.7120e-01 1.4510e-01 1.9904e+00 3.0395e+00 7.6369e-01 4.0764e-01 1.2337e+01
1282 1.7160e-01 1.4565e-01 1.9891e+00 3.0370e+00 7.6551e-01 4.1292e-01 1.2346e+01
1283 1.7160e-01 1.4565e-01 1.9891e+00 3.0370e+00 7.6551e-01 4.1292e-01 1.2356e+01
1284 1.7060e-01 1.4517e-01 1.9867e+00 3.0413e+00 7.6791e-01 4.1046e-01 1.2365e+01
1285 1.7060e-01 1.4517e-01 1.9867e+00 3.0413e+00 7.6791e-01 4.1046e-01 1.2375e+01
1286 1.7060e-01 1.4517e-01 1.9867e+00 3.0413e+00 7.6791e-01 4.1046e-01 1.2384e+01
1287 1.7140e-01 1.4502e-01 1.9901e+00 3.0405e+00 7.6655e-01 4.1083e-01 1.2394e+01
1288 1.7100e-01 1.4385e-01 1.9973e+00 3.0387e+00 7.6873e-01 4.1129e-01 1.2404e+01
1289 1.7100e-01 1.4450e-01 2.0023e+00 3.0448e+00 7.6985e-01 4.1252e-01 1.2413e+01
1290 1.7100e-01 1.4450e-01 2.0023e+00 3.0448e+00 7.6985e-01 4.1252e-01 1.2423e+01
1291 1.7020e-01 1.4562e-01 2.0067e+00 3.0433e+00 7.6436e-01 4.1123e-01 1.2432e+01
1292 1.6940e-01 1.4563e-01 2.0035e+00 3.0467e+00 7.6172e-01 4.1094e-01 1.2442e+01
1293 1.6840e-01 1.4573e-01 2.0038e+00 3.0497e+00 7.6571e-01 4.0700e-01 1.2452e+01
1294 1.6720e-01 1.4478e-01 1.9995e+00 3.0505e+00 7.6876e-01 4.1185e-01 1.2461e+01
1295 1.6800e-01 1.4407e-01 2.0037e+00 3.0506e+00 7.7170e-01 4.0966e-01 1.2471e+01
1296 1.6820e-01 1.4400e-01 1.9969e+00 3.0560e+00 7.7259e-01 4.0923e-01 1.2480e+01
1297 1.6760e-01 1.4355e-01 1.9920e+00 3.0559e+00 7.7666e-01 4.0844e-01 1.2490e+01
1298 1.6780e-01 1.4435e-01 1.9928e+00 3.0553e+00 7.7562e-01 4.0873e-01 1.2500e+01
1299 1.6780e-01 1.4435e-01 1.9928e+00 3.0553e+00 7.7562e-01 4.0873e-01 1.2509e+01
1300 1.6720e-01 1.4360e-01 1.9972e+00 3.0581e+00 7.7583e-01 4.0796e-01 1.2519e+01
1301 1.6600e-01 1.4292e-01 1.9941e+00 3.0564e+00 7.7714e-01 4.1060e-01 1.2528e+01
1302 1.6600e-01 1.4292e-01 1.9941e+00 3.0564e+00 7.7714e-01 4.1060e-01 1.2538e+01
1303 1.6840e-01 1.4380e-01 1.9941e+00 3.0546e+00 7.7684e-01 4.0801e-01 1.2547e+01
1304 1.6740e-01 1.4375e-01 1.9894e+00 3.0489e+00 7.7768e-01 4.0958e-01 1.2557e+01
1305 1.6440e-01 1.4343e-01 1.9851e+00 3.0501e+00 7.7956e-01 4.0450e-01 1.2566e+01
1306 1.6760e-01 1.4410e-01 1.9886e+00 3.0487e+00 7.7736e-01 4.1307e-01 1.2576e+01
1307 1.6760e-01 1.4478e-01 1.9853e+00 3.0489e+00 7.8076e-01 4.0992e-01 1.2586e+01
1308 1.6760e-01 1.4478e-01 1.9853e+00 3.0489e+00 7.8076e-01 4.0992e-01 1.2595e+01
1309 1.6800e-01 1.4450e-01 1.9813e+00 3.0476e+00 7.7715e-01 4.1144e-01 1.2605e+01
1310 1.6560e-01 1.4348e-01 1.9865e+00 3.0465e+00 7.7863e-01 4.1399e-01 1.2614e+01
1311 1.6740e-01 1.4440e-01 1.9843e+00 3.0471e+00 7.8137e-01 4.0926e-01 1.2624e+01
1312 1.6480e-01 1.4387e-01 1.9853e+00 3.0502e+00 7.8240e-01 4.1112e-01 1.2634e+01
1313 1.6400e-01 1.4355e-01 1.9859e+00 3.0481e+00 7.8327e-01 4.1042e-01 1.2643e+01
1314 1.6380e-01 1.4338e-01 1.9892e+00 3.0538e+00 7.8491e-01 4.1100e-01 1.2653e+01
1315 1.6480e-01 1.4335e-01 1.9865e+00 3.0531e+00 7.8753e-01 4.0645e-01 1.2663e+01
1316 1.6560e-01 1.4333e-01 1.9878e+00 3.0492e+00 7.9217e-01 4.0324e-01 1.2672e+01
1317 1.6680e-01 1.4318e-01 1.9909e+00 3.0497e+00 7.9485e-01 4.0224e-01 1.2682e+01
1318 1.6480e-01 1.4378e-01 1.9887e+00 3.0453e+00 7.9839e-01 3.9749e-01 1.2691e+01
1319 1.6600e-01 1.4365e-01 1.9907e+00 3.0502e+00 7.9344e-01 3.9651e-01 1.2701e+01
1320 1.6600e-01 1.4365e-01 1.9907e+00 3.0502e+00 7.9344e-01 3.9651e-01 1.2711e+01
1321 1.6600e-01 1.4365e-01 1.9907e+00 3.0502e+00 7.9344e-01 3.9651e-01 1.2720e+01
1322 1.6600e-01 1.4365e-01 1.9907e+00 3.0502e+00 7.9344e-01 3.9651e-01 1.2729e+01
1323 1.6520e-01 1.4318e-01 1.9932e+00 3.0448e+00 7.9599e-01 3.9452e-01 1.2739e+01
1324 1.6520e-01 1.4318e-01 1.9932e+00 3.0448e+00 7.9599e-01 3.9452e-01 1.2748e+01
1325 1.6680e-01 1.4357e-01 1.9918e+00 3.0444e+00 7.9387e-01 4.0092e-01 1.2758e+01
1326 1.6740e-01 1.4390e-01 1.9869e+00 3.0419e+00 7.9744e-01 4.0011e-01 1.2767e+01
1327 1.6560e-01 1.4372e-01 1.9853e+00 3.0393e+00 7.9761e-01 4.0184e-01 1.2777e+01
1328 1.6800e-01 1.4438e-01 1.9926e+00 3.0403e+00 7.9970e-01 4.0025e-01 1.2786e+01
1329 1.6800e-01 1.4438e-01 1.9926e+00 3.0403e+00 7.9970e-01 4.0025e-01 1.2796e+01
1330 1.6640e-01 1.4470e-01 1.9920e+00 3.0350e+00 8.0454e-01 3.9872e-01 1.2805e+01
1331 1.6680e-01 1.4460e-01 1.9907e+00 3.0348e+00 8.0461e-01 4.0037e-01 1.2815e+01
1332 1.6680e-01 1.4460e-01 1.9907e+00 3.0348e+00 8.0461e-01 4.0037e-01 1.2825e+01
1333 1.6720e-01 1.4448e-01 1.9931e+00 3.0395e+00 8.0401e-01 3.9836e-01 1.2834e+01
1334 1.6600e-01 1.4380e-01 1.9906e+00 3.0292e+00 8.0249e-01 3.9761e-01 1.2844e+01
1335 1.6720e-01 1.4390e-01 1.9914e+00 3.0304e+00 8.0137e-01 3.9313e-01 1.2854e+01
1336 1.6700e-01 1.4468e-01 1.9881e+00 3.0330e+00 8.0172e-01 3.9303e-01 1.2863e+01
1337 1.6820e-01 1.4462e-01 1.9954e+00 3.0332e+00 7.9472e-01 3.8859e-01 1.2873e+01
1338 1.6780e-01 1.4498e-01 1.9999e+00 3.0414e+00 8.0104e-01 3.9290e-01 1.2883e+01
1339 1.6940e-01 1.4507e-01 1.9994e+00 3.0444e+00 8.0242e-01 3.8868e-01 1.2892e+01
1340 1.6900e-01 1.4417e-01 2.0036e+00 3.0460e+00 8.0192e-01 3.9016e-01 1.2902e+01
1341 1.6640e-01 1.4333e-01 2.0040e+00 3.0428e+00 8.0423e-01 3.9018e-01 1.2912e+01
1342 1.6920e-01 1.4447e-01 2.0064e+00 3.0447e+00 7.9804e-01 3.9069e-01 1.2921e+01
1343 1.6680e-01 1.4315e-01 2.0068e+00 3.0504e+00 7.9790e-01 3.9167e-01 1.2931e+01
1344 1.6740e-01 1.4320e-01 2.0096e+00 3.0508e+00 7.9922e-01 3.9323e-01 1.2940e+01
1345 1.6740e-01 1.4320e-01 2.0096e+00 3.0508e+00 7.9922e-01 3.9323e-01 1.2950e+01
1346 1.6800e-01 1.4320e-01 2.0128e+00 3.0450e+00 7.9976e-01 3.9505e-01 1.2959e+01
1347 1.6800e-01 1.4320e-01 2.0128e+00 3.0450e+00 7.9976e-01 3.9505e-01 1.2969e+01
1348 1.6840e-01 1.4350e-01 2.0145e+00 3.0433e+00 7.9615e-01 3.9840e-01 1.2978e+01
1349 1.6840e-01 1.4350e-01 2.0145e+00 3.0433e+00 7.9615e-01 3.9840e-01 1.2988e+01
1350 1.6640e-01 1.4377e-01 2.0160e+00 3.0447e+00 7.9502e-01 3.9943e-01 1.2997e+01
1351 1.6840e-01 1.4307e-01 2.0159e+00 3.0491e+00 7.9197e-01 4.0481e-01 1.3007e+01
1352 1.7000e-01 1.4385e-01 2.0165e+00 3.0532e+00 7.8928e-01 4.0053e-01 1.3016e+01
1353 1.6960e-01 1.4395e-01 2.0142e+00 3.0573e+00 7.8906e-01 4.0018e-01 1.3026e+01
1354 1.6920e-01 1.4305e-01 2.0129e+00 3.0599e+00 7.8724e-01 4.0734e-01 1.3036e+01
1355 1.6880e-01 1.4342e-01 2.0103e+00 3.0615e+00 7.8678e-01 4.0543e-01 1.3045e+01
1356 1.6980e-01 1.4353e-01 2.0094e+00 3.0704e+00 7.8496e-01 4.0411e-01 1.3055e+01
1357 1.7160e-01 1.4363e-01 2.0050e+00 3.0693e+00 7.8465e-01 4.0290e-01 1.3065e+01
1358 1.7200e-01 1.4412e-01 2.0045e+00 3.0743e+00 7.8884e-01 3.9728e-01 1.3074e+01
1359 1.6980e-01 1.4420e-01 2.0071e+00 3.0740e+00 7.9177e-01 3.9429e-01 1.3084e+01
1360 1.6980e-01 1.4420e-01 2.0071e+00 3.0740e+00 7.9177e-01 3.9429e-01 1.3093e+01
1361 1.7000e-01 1.4583e-01 2.0084e+00 3.0726e+00 7.9303e-01 3.9249e-01 1.3103e+01
1362 1.7180e-01 1.4502e-01 2.0080e+00 3.0716e+00 7.9178e-01 3.9444e-01 1.3112e+01
1363 1.6960e-01 1.4503e-01 2.0092e+00 3.0752e+00 7.9060e-01 3.9044e-01 1.3122e+01
1364 1.6800e-01 1.4442e-01 2.0081e+00 3.0785e+00 7.8858e-01 3.8951e-01 1.3132e+01
1365 1.6620e-01 1.4418e-01 2.0071e+00 3.0761e+00 7.9265e-01 3.8728e-01 1.3141e+01
1366 1.6620e-01 1.4418e-01 2.0071e+00 3.0761e+00 7.9265e-01 3.8728e-01 1.3151e+01
1367 1.6920e-01 1.4470e-01 2.0047e+00 3.0784e+00 7.8758e-01 3.8801e-01 1.3160e+01
1368 1.6920e-01 1.4448e-01 2.0057e+00 3.0822e+00 7.8671e-01 3.9112e-01 1.3170e+01
1369 1.6900e-01 1.4437e-01 2.0023e+00 3.0829e+00 7.9199e-01 3.9121e-01 1.3179e+01
1370 1.6800e-01 1.4468e-01 2.0023e+00 3.0840e+00 7.8974e-01 3.9179e-01 1.3189e+01
1371 1.7000e-01 1.4407e-01 2.0071e+00 3.0789e+00 7.8625e-01 3.9016e-01 1.3199e+01
1372 1.6860e-01 1.4330e-01 2.0044e+00 3.0827e+00 7.8460e-01 3.9426e-01 1.3208e+01
1373 1.6800e-01 1.4398e-01 2.0053e+00 3.0832e+00 7.8426e-01 3.9521e-01 1.3218e+01
1374 1.6940e-01 1.4342e-01 2.0007e+00 3.0806e+00 7.8213e-01 3.9069e-01 1.3227e+01
1375 1.6940e-01 1.4342e-01 2.0007e+00 3.0806e+00 7.8213e-01 3.9069e-01 1.3237e+01
1376 1.6940e-01 1.4342e-01 2.0007e+00 3.0806e+00 7.8213e-01 3.9069e-01 1.3246e+01
1377 1.6940e-01 1.4342e-01 2.0007e+00 3.0806e+00 7.8213e-01 3.9069e-01 1.3255e+01
1378 1.6880e-01 1.4345e-01 2.0020e+00 3.0803e+00 7.8629e-01 3.9139e-01 1.3265e+01
1379 1.7080e-01 1.4402e-01 2.0013e+00 3.0778e+00 7.8962e-01 3.9383e-01 1.3275e+01
