t test_loss train_loss W_norm W_2_norm b_norm b_2_norm time
54 9.0760e-01 9.0137e-01 1.1595e-01 6.0989e-01 4.0052e-02 8.2970e-02 5.6771e-01
55 9.0760e-01 9.0137e-01 1.1649e-01 6.1788e-01 3.6694e-02 8.3423e-02 5.7730e-01
56 9.0760e-01 9.0137e-01 1.1672e-01 6.2182e-01 3.2388e-02 8.8737e-02 5.8688e-01
57 9.0760e-01 9.0137e-01 1.1593e-01 6.3123e-01 3.7449e-02 9.1692e-02 5.9645e-01
58 9.0760e-01 9.0137e-01 1.1831e-01 6.3763e-01 2.9807e-02 9.7151e-02 6.0605e-01
59 9.0760e-01 9.0137e-01 1.1799e-01 6.4491e-01 3.2002e-02 9.4578e-02 6.1581e-01
60 9.0760e-01 9.0123e-01 1.1420e-01 6.4770e-01 3.4011e-02 9.1965e-02 6.2541e-01
61 9.0760e-01 9.0135e-01 1.1394e-01 6.4907e-01 3.3671e-02 9.4615e-02 6.3499e-01
62 9.0760e-01 9.0123e-01 1.1422e-01 6.5855e-01 2.6637e-02 9.2961e-02 6.4457e-01
63 9.0760e-01 9.0107e-01 1.1092e-01 6.6740e-01 2.3554e-02 9.0710e-02 6.5426e-01
64 9.0740e-01 9.0078e-01 1.1249e-01 6.7456e-01 2.2622e-02 8.8740e-02 6.6385e-01
65 9.0760e-01 9.0137e-01 1.0988e-01 6.7519e-01 2.6639e-02 8.8345e-02 6.7360e-01
66 9.0740e-01 9.0103e-01 1.1106e-01 6.7396e-01 2.4816e-02 9.0255e-02 6.8335e-01
67 9.0640e-01 9.0027e-01 1.1510e-01 6.7862e-01 2.2370e-02 8.6860e-02 6.9292e-01
68 9.0460e-01 8.9837e-01 1.2106e-01 6.8453e-01 1.9337e-02 8.4994e-02 7.0267e-01
69 8.7400e-01 8.7497e-01 1.2040e-01 6.8791e-01 1.5028e-02 8.1749e-02 7.1228e-01
70 8.9740e-01 8.9257e-01 1.1877e-01 6.9177e-01 1.2585e-02 8.3167e-02 7.2221e-01
71 9.0180e-01 8.9652e-01 1.1817e-01 6.9418e-01 1.4471e-02 8.0046e-02 7.3177e-01
72 9.0620e-01 9.0027e-01 1.1591e-01 6.9845e-01 1.6638e-02 8.5997e-02 7.4136e-01
73 9.0600e-01 9.0002e-01 1.2019e-01 7.0302e-01 1.7439e-02 8.8754e-02 7.5095e-01
74 9.0580e-01 8.9990e-01 1.2723e-01 7.0808e-01 1.8732e-02 8.8618e-02 7.6051e-01
75 8.9980e-01 8.9507e-01 1.2707e-01 7.1178e-01 2.2066e-02 9.1350e-02 7.7011e-01
76 8.7500e-01 8.7908e-01 1.3584e-01 7.1815e-01 1.8741e-02 8.9934e-02 7.7968e-01
77 8.9100e-01 8.8838e-01 1.3954e-01 7.2556e-01 2.2170e-02 9.1108e-02 7.8924e-01
78 8.5640e-01 8.6387e-01 1.3914e-01 7.3272e-01 2.1774e-02 9.4659e-02 7.9900e-01
79 8.4620e-01 8.5703e-01 1.3674e-01 7.3906e-01 2.0892e-02 9.9735e-02 8.0860e-01
80 8.5040e-01 8.5848e-01 1.3452e-01 7.4076e-01 1.8762e-02 9.6086e-02 8.1816e-01
81 8.6040e-01 8.6773e-01 1.3389e-01 7.4507e-01 1.8115e-02 9.9616e-02 8.2772e-01
82 8.6560e-01 8.7188e-01 1.3102e-01 7.5089e-01 1.4226e-02 1.0037e-01 8.3731e-01
83 8.6380e-01 8.6900e-01 1.3725e-01 7.5808e-01 2.0385e-02 9.8924e-02 8.4688e-01
84 8.5340e-01 8.5998e-01 1.3820e-01 7.6092e-01 2.1588e-02 9.4953e-02 8.5662e-01
85 8.2880e-01 8.4275e-01 1.4067e-01 7.6640e-01 1.7662e-02 9.5614e-02 8.6639e-01
86 8.3000e-01 8.4480e-01 1.4460e-01 7.7302e-01 1.2728e-02 1.0106e-01 8.7596e-01
87 8.7000e-01 8.7600e-01 1.4469e-01 7.8264e-01 1.3650e-02 1.0440e-01 8.8571e-01
88 8.6300e-01 8.6975e-01 1.4172e-01 7.8308e-01 1.5863e-02 1.0038e-01 8.9550e-01
89 8.6460e-01 8.6952e-01 1.3626e-01 7.9037e-01 1.9143e-02 1.0080e-01 9.0528e-01
